pt_graph shape
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8997 1
8998 1
8998 1
8998 1
8998 1
8998 1
8998 1
8998 1
8998 1
8998 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9036 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9037 1
9039 1
9039 1
9039 1
9039 1
9039 1
9039 1
9039 1
9039 1
9039 1
9040 1
9040 1
9040 1
9040 1
9040 1
9040 1
9040 1
9040 1
9040 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9077 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9078 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9080 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9115 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9118 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9160 1
9199 1
9199 1
9199 1
9199 1
9199 1
9199 1
9199 1
9199 1
9199 1
9200 1
9200 1
9200 1
9200 1
9200 1
9200 1
9200 1
9200 1
9200 1
9214 1
9214 1
9214 1
9214 1
9214 1
9214 1
9214 1
9214 1
9214 1
9238 1
9238 1
9238 1
9238 1
9238 1
9238 1
9238 1
9238 1
9238 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9244 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9245 1
9287 1
9287 1
9287 1
9287 1
9287 1
9287 1
9287 1
9287 1
9287 1
9288 1
9288 1
9288 1
9288 1
9288 1
9288 1
9288 1
9288 1
9288 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9290 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9291 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9292 1
9293 1
9293 1
9293 1
9293 1
9293 1
9293 1
9293 1
9293 1
9293 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9306 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9341 1
9342 1
9342 1
9342 1
9342 1
9342 1
9342 1
9342 1
9342 1
9342 1
9343 1
9343 1
9343 1
9343 1
9343 1
9343 1
9343 1
9343 1
9343 1
9387 1
9387 1
9387 1
9387 1
9387 1
9387 1
9387 1
9387 1
9387 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9443 1
9443 1
9443 1
9443 1
9443 1
9443 1
9443 1
9443 1
9443 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9517 1
9517 1
9517 1
9517 1
9517 1
9517 1
9517 1
9517 1
9517 1
9537 1
9537 1
9537 1
9537 1
9537 1
9537 1
9537 1
9537 1
9537 1
9576 1
9576 1
9576 1
9576 1
9576 1
9576 1
9576 1
9576 1
9576 1
9581 1
9581 1
9581 1
9581 1
9581 1
9581 1
9581 1
9581 1
9581 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9606 1
9606 1
9606 1
9606 1
9606 1
9606 1
9606 1
9606 1
9606 1
9650 1
9650 1
9650 1
9650 1
9650 1
9650 1
9650 1
9650 1
9650 1
9654 1
9654 1
9654 1
9654 1
9654 1
9654 1
9654 1
9654 1
9654 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9678 1
9678 1
9678 1
9678 1
9678 1
9678 1
9678 1
9678 1
9678 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9735 1
9735 1
9735 1
9735 1
9735 1
9735 1
9735 1
9735 1
9735 1
9737 1
9737 1
9737 1
9737 1
9737 1
9737 1
9737 1
9737 1
9737 1
9739 1
9739 1
9739 1
9739 1
9739 1
9739 1
9739 1
9739 1
9739 1
9744 1
9744 1
9744 1
9744 1
9744 1
9744 1
9744 1
9744 1
9744 1
9758 1
9758 1
9758 1
9758 1
9758 1
9758 1
9758 1
9758 1
9758 1
9810 1
9810 1
9810 1
9810 1
9810 1
9810 1
9810 1
9810 1
9810 1
9823 1
9823 1
9823 1
9823 1
9823 1
9823 1
9823 1
9823 1
9823 1
9892 1
9892 1
9892 1
9892 1
9892 1
9892 1
9892 1
9892 1
9892 1
9895 1
9895 1
9895 1
9895 1
9895 1
9895 1
9895 1
9895 1
9895 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9899 1
9899 1
9899 1
9899 1
9899 1
9899 1
9899 1
9899 1
9899 1
9901 1
9901 1
9901 1
9901 1
9901 1
9901 1
9901 1
9901 1
9901 1
9972 1
9972 1
9972 1
9972 1
9972 1
9972 1
9972 1
9972 1
9972 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9975 1
9975 1
9975 1
9975 1
9975 1
9975 1
9975 1
9975 1
9975 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9983 1
9984 1
9984 1
9984 1
9984 1
9984 1
9984 1
9984 1
9984 1
9984 1
9985 1
9985 1
9985 1
9985 1
9985 1
9985 1
9985 1
9985 1
9985 1
10047 1
10047 1
10047 1
10047 1
10047 1
10047 1
10047 1
10047 1
10047 1
10050 1
10050 1
10050 1
10050 1
10050 1
10050 1
10050 1
10050 1
10050 1
10055 1
10055 1
10055 1
10055 1
10055 1
10055 1
10055 1
10055 1
10055 1
10056 1
10056 1
10056 1
10056 1
10056 1
10056 1
10056 1
10056 1
10056 1
10057 1
10057 1
10057 1
10057 1
10057 1
10057 1
10057 1
10057 1
10057 1
10058 1
10058 1
10058 1
10058 1
10058 1
10058 1
10058 1
10058 1
10058 1
10059 1
10059 1
10059 1
10059 1
10059 1
10059 1
10059 1
10059 1
10059 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10060 1
10061 1
10061 1
10061 1
10061 1
10061 1
10061 1
10061 1
10061 1
10061 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10064 1
10065 1
10065 1
10065 1
10065 1
10065 1
10065 1
10065 1
10065 1
10065 1
10086 1
10086 1
10086 1
10086 1
10086 1
10086 1
10086 1
10086 1
10086 1
10087 1
10087 1
10087 1
10087 1
10087 1
10087 1
10087 1
10087 1
10087 1
10131 1
10131 1
10131 1
10131 1
10131 1
10131 1
10131 1
10131 1
10131 1
10133 1
10133 1
10133 1
10133 1
10133 1
10133 1
10133 1
10133 1
10133 1
10135 1
10135 1
10135 1
10135 1
10135 1
10135 1
10135 1
10135 1
10135 1
10136 1
10136 1
10136 1
10136 1
10136 1
10136 1
10136 1
10136 1
10136 1
10137 1
10137 1
10137 1
10137 1
10137 1
10137 1
10137 1
10137 1
10137 1
10138 1
10138 1
10138 1
10138 1
10138 1
10138 1
10138 1
10138 1
10138 1
10139 1
10139 1
10139 1
10139 1
10139 1
10139 1
10139 1
10139 1
10139 1
10140 1
10140 1
10140 1
10140 1
10140 1
10140 1
10140 1
10140 1
10140 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10143 1
10145 1
10145 1
10145 1
10145 1
10145 1
10145 1
10145 1
10145 1
10145 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10146 1
10169 1
10169 1
10169 1
10169 1
10169 1
10169 1
10169 1
10169 1
10169 1
10170 1
10170 1
10170 1
10170 1
10170 1
10170 1
10170 1
10170 1
10170 1
10214 1
10214 1
10214 1
10214 1
10214 1
10214 1
10214 1
10214 1
10214 1
10215 1
10215 1
10215 1
10215 1
10215 1
10215 1
10215 1
10215 1
10215 1
10216 1
10216 1
10216 1
10216 1
10216 1
10216 1
10216 1
10216 1
10216 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10217 1
10218 1
10218 1
10218 1
10218 1
10218 1
10218 1
10218 1
10218 1
10218 1
10219 1
10219 1
10219 1
10219 1
10219 1
10219 1
10219 1
10219 1
10219 1
10220 1
10220 1
10220 1
10220 1
10220 1
10220 1
10220 1
10220 1
10220 1
10224 1
10224 1
10224 1
10224 1
10224 1
10224 1
10224 1
10224 1
10224 1
10225 1
10225 1
10225 1
10225 1
10225 1
10225 1
10225 1
10225 1
10225 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10226 1
10227 1
10227 1
10227 1
10227 1
10227 1
10227 1
10227 1
10227 1
10227 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10253 1
10298 1
10298 1
10298 1
10298 1
10298 1
10298 1
10298 1
10298 1
10298 1
10300 1
10300 1
10300 1
10300 1
10300 1
10300 1
10300 1
10300 1
10300 1
10301 1
10301 1
10301 1
10301 1
10301 1
10301 1
10301 1
10301 1
10301 1
10303 1
10303 1
10303 1
10303 1
10303 1
10303 1
10303 1
10303 1
10303 1
10304 1
10304 1
10304 1
10304 1
10304 1
10304 1
10304 1
10304 1
10304 1
10305 1
10305 1
10305 1
10305 1
10305 1
10305 1
10305 1
10305 1
10305 1
10306 1
10306 1
10306 1
10306 1
10306 1
10306 1
10306 1
10306 1
10306 1
10307 1
10307 1
10307 1
10307 1
10307 1
10307 1
10307 1
10307 1
10307 1
10308 1
10308 1
10308 1
10308 1
10308 1
10308 1
10308 1
10308 1
10308 1
10309 1
10309 1
10309 1
10309 1
10309 1
10309 1
10309 1
10309 1
10309 1
10311 1
10311 1
10311 1
10311 1
10311 1
10311 1
10311 1
10311 1
