pt_graph met
8997 1
8998 1
9036 1
9037 1
9038 1
9039 1
9074 1
9075 1
9076 1
9077 1
9078 1
9079 1
9080 1
9115 1
9116 1
9117 1
9118 1
9119 1
9120 1
9122 1
9124 1
9157 1
9158 1
9159 1
9160 1
9198 1
9199 1
9201 1
9242 1
9243 1
9244 1
9245 1
9257 1
9259 1
9288 1
9290 1
9291 1
9292 1
9293 1
9294 1
9305 1
9342 1
9343 1
9344 1
9394 1
9396 1
9411 1
9417 1
9450 1
9452 1
9453 1
9474 1
9475 1
9510 1
9511 1
9513 1
9515 1
9516 1
9518 1
9536 1
9537 1
9538 1
9581 1
9588 1
9601 1
9605 1
9606 1
9608 1
9655 1
9656 1
9659 1
9680 1
9681 1
9683 1
9737 1
9738 1
9739 1
9744 1
9754 1
9759 1
9760 1
9761 1
9819 1
9823 1
9839 1
9840 1
9841 1
9842 1
9885 1
9894 1
9898 1
9919 1
9920 1
9921 1
9922 1
9923 1
9924 1
9974 1
9975 1
9978 1
9979 1
9980 1
9981 1
9983 1
10001 1
10002 1
10003 1
10004 1
10005 1
10006 1
10053 1
10057 1
10058 1
10061 1
10064 1
10084 1
10086 1
10087 1
10088 1
10089 1
10136 1
10137 1
10138 1
10142 1
10143 1
10144 1
10145 1
10154 1
10169 1
10170 1
10217 1
10218 1
10221 1
10222 1
10224 1
10225 1
10226 1
10227 1
10231 1
10253 1
10300 1
10303 1
10305 1
10306 1
10307 1
10308 1
10309 1
10313 1
10389 1
10390 1
10393 1
10395 1
10422 1
10486 1
10487 1
10488 1
10489 1
10497 1
10585 1
10586 1
10587 1
10588 1
10590 1
10688 1
10689 1
10690 1
10691 1
10692 1
10789 1
10790 1
10889 1
10890 1
10996 1
10997 1
11118 1
11373 1
11374 1
11375 1
11500 1
11501 1
11502 1
11503 1
11504 1
11624 1
11625 1
11629 1
11630 1
11631 1
11633 1
11753 1
11754 1
11755 1
11756 1
11758 1
11760 1
11761 1
11762 1
11883 1
11884 1
11886 1
11888 1
11889 1
11891 1
11892 1
11893 1
11990 1
11993 1
12005 1
12008 1
12010 1
12011 1
12014 1
12015 1
12016 1
12017 1
12116 1
12119 1
12128 1
12129 1
12130 1
12131 1
12132 1
12134 1
12136 1
12137 1
12138 1
12139 1
12251 1
12253 1
12254 1
12258 1
12259 1
12260 1
12261 1
12262 1
12263 1
12367 1
12384 1
12385 1
12387 1
12388 1
12389 1
12390 1
12391 1
12392 1
12393 1
12499 1
12500 1
12501 1
12502 1
12503 1
12509 1
12515 1
12518 1
12519 1
12521 1
12522 1
12523 1
12524 1
12626 1
12627 1
12628 1
12629 1
12630 1
12643 1
12646 1
12649 1
12650 1
12651 1
12652 1
12747 1
12748 1
12758 1
12764 1
12767 1
12768 1
12769 1
12862 1
12863 1
12864 1
12866 1
12867 1
12868 1
12880 1
12882 1
12884 1
12886 1
12887 1
12888 1
12889 1
12983 1
12984 1
12985 1
12988 1
12996 1
13005 1
13007 1
13008 1
13009 1
13010 1
13098 1
13099 1
13101 1
13102 1
13103 1
13108 1
13117 1
13118 1
13120 1
13121 1
13122 1
13123 1
13205 1
13206 1
13208 1
13209 1
13223 1
13224 1
13225 1
13226 1
13297 1
13298 1
13299 1
13304 1
13315 1
13318 1
13319 1
13320 1
13323 1
13383 1
13384 1
13387 1
13391 1
13400 1
13401 1
13404 1
13405 1
13406 1
13462 1
13476 1
13484 1
13485 1
13486 1
13534 1
13536 1
13552 1
13554 1
13555 1
13556 1
13613 1
13615 1
13651 1
13667 1
13669 1
13707 1
13708 1
13709 1
13716 1
13722 1
13764 1
13816 1
13822 1
13823 1
