pt_graph cpue_kghour
9620 1.08
9620 0
9620 2.91
9620 2.09
9620 2
9620 2.49
9620 0
9620 0
9620 0
9618 1.08
9618 0
9618 2.91
9618 2.09
9618 2
9618 2.49
9618 0
9618 0
9618 0
9698 1.08
9698 0
9698 2.91
9698 2.09
9698 2
9698 2.49
9698 0
9698 0
9698 0
9693 1.08
9693 0
9693 2.91
9693 2.09
9693 2
9693 2.49
9693 0
9693 0
9693 0
9772 1.08
9772 0
9772 2.91
9772 2.09
9772 2
9772 2.49
9772 0
9772 0
9772 0
9941 1.08
9941 0
9941 2.91
9941 2.09
9941 2
9941 2.49
9941 0
9941 0
9941 0
10022 1.08
10022 0
10022 2.91
10022 2.09
10022 2
10022 2.49
10022 0
10022 0
10022 0
10102 1.08
10102 0
10102 2.91
10102 2.09
10102 2
10102 2.49
10102 0
10102 0
10102 0
10186 1.08
10186 0
10186 2.91
10186 2.09
10186 2
10186 2.49
10186 0
10186 0
10186 0
10446 1.08
10446 0
10446 2.91
10446 2.09
10446 2
10446 2.49
10446 0
10446 0
10446 0
10554 1.08
10554 0
10554 2.91
10554 2.09
10554 2
10554 2.49
10554 0
10554 0
10554 0
10628 1.08
10628 0
10628 2.91
10628 2.09
10628 2
10628 2.49
10628 0
10628 0
10628 0
10761 1.08
10761 0
10761 2.91
10761 2.09
10761 2
10761 2.49
10761 0
10761 0
10761 0
10753 1.08
10753 0
10753 2.91
10753 2.09
10753 2
10753 2.49
10753 0
10753 0
10753 0
10858 1.08
10858 0
10858 2.91
10858 2.09
10858 2
10858 2.49
10858 0
10858 0
10858 0
10962 1.08
10962 0
10962 2.91
10962 2.09
10962 2
10962 2.49
10962 0
10962 0
10962 0
11082 1.08
11082 0
11082 2.91
11082 2.09
11082 2
11082 2.49
11082 0
11082 0
11082 0
11204 1.08
11204 0
11204 2.91
11204 2.09
11204 2
11204 2.49
11204 0
11204 0
11204 0
11314 1.08
11314 0
11314 2.91
11314 2.09
11314 2
11314 2.49
11314 0
11314 0
11314 0
11453 1.08
11453 0
11453 2.91
11453 2.09
11453 2
11453 2.49
11453 0
11453 0
11453 0
11448 1.08
11448 0
11448 2.91
11448 2.09
11448 2
11448 2.49
11448 0
11448 0
11448 0
12465 1.08
12465 0
12465 2.91
12465 2.09
12465 2
12465 2.49
12465 0
12465 0
12465 0
12592 1.08
12592 0
12592 2.91
12592 2.09
12592 2
12592 2.49
12592 0
12592 0
12592 0
12715 1.08
12715 0
12715 2.91
12715 2.09
12715 2
12715 2.49
12715 0
12715 0
12715 0
12838 1.08
12838 0
12838 2.91
12838 2.09
12838 2
12838 2.49
12838 0
12838 0
12838 0
12836 1.08
12836 0
12836 2.91
12836 2.09
12836 2
12836 2.49
12836 0
12836 0
12836 0
12834 1.08
12834 0
12834 2.91
12834 2.09
12834 2
12834 2.49
12834 0
12834 0
12834 0
