pt_graph freq
9547 1
9619 1
9620 1
9621 1
9622 1
9623 1
9696 1
9697 1
9698 1
9699 1
9700 1
9774 1
9775 1
9776 1
9777 1
9778 1
9857 1
9858 1
9859 1
9860 1
9938 1
9939 1
9940 1
9941 1
10020 1
10021 1
10022 1
10357 1
10359 1
10360 1
10451 1
10452 1
10453 1
10454 1
10545 1
10548 1
10549 1
10554 1
10557 1
10650 1
10651 1
10656 1
10752 1
10753 1
10754 1
10757 1
10763 1
10765 1
10853 1
10858 1
10962 1
10971 1
11077 1
11192 1
11196 1
11199 1
11207 1
11321 1
11440 1
11441 1
11446 1
11448 1
11449 1
11450 1
11452 1
11454 1
11574 1
11576 1
11578 1
11579 1
11580 1
11581 1
11582 1
11583 1
11584 1
11702 1
11703 1
11704 1
11707 1
11708 1
11709 1
11710 1
11711 1
11712 1
11841 1
