pt_graph shape
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9547 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9623 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9622 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9621 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9620 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9700 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9698 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9697 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9696 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9778 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9776 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9774 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9857 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
9941 1
10356 1
10356 1
10356 1
10356 1
10356 1
10356 1
10356 1
10356 1
10356 1
10446 1
10446 1
10446 1
10446 1
10446 1
10446 1
10446 1
10446 1
10446 1
10662 1
10662 1
10662 1
10662 1
10662 1
10662 1
10662 1
10662 1
10662 1
10863 1
10863 1
10863 1
10863 1
10863 1
10863 1
10863 1
10863 1
10863 1
10962 1
10962 1
10962 1
10962 1
10962 1
10962 1
10962 1
10962 1
10962 1
10958 1
10958 1
10958 1
10958 1
10958 1
10958 1
10958 1
10958 1
10958 1
11075 1
11075 1
11075 1
11075 1
11075 1
11075 1
11075 1
11075 1
11075 1
11203 1
11203 1
11203 1
11203 1
11203 1
11203 1
11203 1
11203 1
11203 1
11201 1
11201 1
11201 1
11201 1
11201 1
11201 1
11201 1
11201 1
11201 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11311 1
11453 1
11453 1
11453 1
11453 1
11453 1
11453 1
11453 1
11453 1
11453 1
11451 1
11451 1
11451 1
11451 1
11451 1
11451 1
11451 1
11451 1
11451 1
11449 1
11449 1
11449 1
11449 1
11449 1
11449 1
11449 1
11449 1
11449 1
11448 1
11448 1
11448 1
11448 1
11448 1
11448 1
11448 1
11448 1
11448 1
11445 1
11445 1
11445 1
11445 1
11445 1
11445 1
11445 1
11445 1
11445 1
11582 1
11582 1
11582 1
11582 1
11582 1
11582 1
11582 1
11582 1
11582 1
11581 1
11581 1
11581 1
11581 1
11581 1
11581 1
11581 1
11581 1
11581 1
11574 1
11574 1
11574 1
11574 1
11574 1
11574 1
11574 1
11574 1
11574 1
11712 1
11712 1
11712 1
11712 1
11712 1
11712 1
11712 1
11712 1
11712 1
11711 1
11711 1
11711 1
11711 1
11711 1
11711 1
11711 1
11711 1
11711 1
11710 1
11710 1
11710 1
11710 1
11710 1
11710 1
11710 1
11710 1
11710 1
11709 1
11709 1
11709 1
11709 1
11709 1
11709 1
11709 1
11709 1
11709 1
