pt_graph met
9547 0
9619 0
9620 0
9621 0
9622 0
9623 0
9696 0
9697 0
9698 0
9699 0
9700 0
9774 0
9775 0
9776 0
9777 0
9778 0
9857 0
9858 0
9859 0
9860 0
9938 0
9939 0
9940 0
9941 0
10020 0
10021 0
10022 0
10357 0
10359 0
10360 0
10451 0
10452 0
10453 0
10454 0
10545 0
10548 0
10549 0
10554 0
10557 0
10650 0
10651 0
10656 0
10752 0
10753 0
10754 0
10757 0
10763 0
10765 0
10853 0
10858 0
10962 0
10971 0
11077 0
11192 0
11196 0
11199 0
11207 0
11321 0
11440 0
11441 0
11446 0
11448 0
11449 0
11450 0
11452 0
11454 0
11574 0
11576 0
11578 0
11579 0
11580 0
11581 0
11582 0
11583 0
11584 0
11702 0
11703 0
11704 0
11707 0
11708 0
11709 0
11710 0
11711 0
11712 0
11841 0
