pt_graph met
14499 0
14500 0
14568 0
14569 0
14598 0
14601 0
14604 0
14605 0
14606 0
14631 0
14632 0
14634 0
14635 0
14638 0
14640 0
14641 0
14662 0
14665 0
14666 0
14669 0
14673 0
14674 0
14694 0
14700 0
14707 0
14730 0
14731 0
14762 0
14764 0
14765 0
14770 0
14796 0
14797 0
14799 0
14800 0
14801 0
14802 0
14822 0
14825 0
14826 0
14827 0
14828 0
14829 0
14830 0
14855 0
14857 0
14887 0
14913 0
14915 0
14962 0
14987 0
15006 0
15011 0
15014 0
15032 0
15039 0
15040 0
15043 0
15059 0
15061 0
15065 0
15067 0
15068 0
15070 0
15090 0
15093 0
15094 0
15095 0
15097 0
15098 0
15099 0
15100 0
15128 0
15131 0
15133 0
15134 0
15135 0
15136 0
15137 0
15169 0
15172 0
15174 0
15175 0
15176 0
15177 0
15178 0
15215 0
15216 0
15217 0
15219 0
15220 0
15221 0
15222 0
15263 0
15266 0
15267 0
15268 0
15269 0
15270 0
15310 0
15312 0
15313 0
15314 0
15315 0
15316 0
15317 0
15318 0
15364 0
15365 0
15367 0
15368 0
15369 0
15370 0
15371 0
15372 0
15423 0
15425 0
15426 0
15427 0
15428 0
15429 0
15430 0
15431 0
15487 0
15491 0
15492 0
15493 0
15494 0
15551 0
15552 0
15553 0
15554 0
15557 0
15558 0
15617 0
15618 0
15619 0
15620 0
15621 0
15622 0
15680 0
15681 0
15682 0
15684 0
15685 0
15686 0
15751 0
15753 0
15754 0
15817 0
15818 0
15819 0
15820 0
15821 0
15822 0
15884 0
15886 0
15887 0
15946 0
15948 0
15949 0
15950 0
15951 0
16000 0
16002 0
16005 0
16006 0
16007 0
16048 0
16056 0
16058 0
16059 0
16097 0
16102 0
16103 0
16104 0
16105 0
16106 0
16107 0
16145 0
16148 0
16149 0
16151 0
16152 0
16153 0
16154 0
16155 0
16198 0
16199 0
16200 0
16201 0
16202 0
16245 0
16247 0
16286 0
16291 0
16292 0
16339 0
16340 0
16341 0
16380 0
16382 0
16383 0
16384 0
16423 0
16424 0
16426 0
16469 0
16513 0
16514 0
16556 0
16557 0
16558 0
16600 0
16601 0
16645 0
