pt_graph cpue_kghour
14569 1.14
14569 0
14569 2.62
14569 2.31
14569 2.88
14569 2.56
14569 0
14569 0
14569 0.05
14603 1.14
14603 0
14603 2.62
14603 2.31
14603 2.88
14603 2.56
14603 0
14603 0
14603 0.05
14666 1.14
14666 0
14666 2.62
14666 2.31
14666 2.88
14666 2.56
14666 0
14666 0
14666 0.05
14703 1.14
14703 0
14703 2.62
14703 2.31
14703 2.88
14703 2.56
14703 0
14703 0
14703 0.05
14738 1.14
14738 0
14738 2.62
14738 2.31
14738 2.88
14738 2.56
14738 0
14738 0
14738 0.05
14798 1.14
14798 0
14798 2.62
14798 2.31
14798 2.88
14798 2.56
14798 0
14798 0
14798 0.05
14799 1.14
14799 0
14799 2.62
14799 2.31
14799 2.88
14799 2.56
14799 0
14799 0
14799 0.05
14881 1.14
14881 0
14881 2.62
14881 2.31
14881 2.88
14881 2.56
14881 0
14881 0
14881 0.05
14935 1.14
14935 0
14935 2.62
14935 2.31
14935 2.88
14935 2.56
14935 0
14935 0
14935 0.05
15036 1.14
15036 0
15036 2.62
15036 2.31
15036 2.88
15036 2.56
15036 0
15036 0
15036 0.05
15068 1.14
15068 0
15068 2.62
15068 2.31
15068 2.88
15068 2.56
15068 0
15068 0
15068 0.05
15070 1.14
15070 0
15070 2.62
15070 2.31
15070 2.88
15070 2.56
15070 0
15070 0
15070 0.05
15100 1.14
15100 0
15100 2.62
15100 2.31
15100 2.88
15100 2.56
15100 0
15100 0
15100 0.05
15132 1.14
15132 0
15132 2.62
15132 2.31
15132 2.88
15132 2.56
15132 0
15132 0
15132 0.05
15134 1.14
15134 0
15134 2.62
15134 2.31
15134 2.88
15134 2.56
15134 0
15134 0
15134 0.05
15177 1.14
15177 0
15177 2.62
15177 2.31
15177 2.88
15177 2.56
15177 0
15177 0
15177 0.05
15216 1.14
15216 0
15216 2.62
15216 2.31
15216 2.88
15216 2.56
15216 0
15216 0
15216 0.05
15220 1.14
15220 0
15220 2.62
15220 2.31
15220 2.88
15220 2.56
15220 0
15220 0
15220 0.05
15222 1.14
15222 0
15222 2.62
15222 2.31
15222 2.88
15222 2.56
15222 0
15222 0
15222 0.05
15270 1.14
15270 0
15270 2.62
15270 2.31
15270 2.88
15270 2.56
15270 0
15270 0
15270 0.05
15316 1.14
15316 0
15316 2.62
15316 2.31
15316 2.88
15316 2.56
15316 0
15316 0
15316 0.05
15318 1.14
15318 0
15318 2.62
15318 2.31
15318 2.88
15318 2.56
15318 0
15318 0
15318 0.05
15371 1.14
15371 0
15371 2.62
15371 2.31
15371 2.88
15371 2.56
15371 0
15371 0
15371 0.05
15372 1.14
15372 0
15372 2.62
15372 2.31
15372 2.88
15372 2.56
15372 0
15372 0
15372 0.05
15429 1.14
15429 0
15429 2.62
15429 2.31
15429 2.88
15429 2.56
15429 0
15429 0
15429 0.05
15430 1.14
15430 0
15430 2.62
15430 2.31
15430 2.88
15430 2.56
15430 0
15430 0
15430 0.05
15494 1.14
15494 0
15494 2.62
15494 2.31
15494 2.88
15494 2.56
15494 0
15494 0
15494 0.05
15558 1.14
15558 0
15558 2.62
15558 2.31
15558 2.88
15558 2.56
15558 0
15558 0
15558 0.05
15686 1.14
15686 0
15686 2.62
15686 2.31
15686 2.88
15686 2.56
15686 0
15686 0
15686 0.05
15818 1.14
15818 0
15818 2.62
15818 2.31
15818 2.88
15818 2.56
15818 0
15818 0
15818 0.05
15822 1.14
15822 0
15822 2.62
15822 2.31
15822 2.88
15822 2.56
15822 0
15822 0
15822 0.05
15886 1.14
15886 0
15886 2.62
15886 2.31
15886 2.88
15886 2.56
15886 0
15886 0
15886 0.05
15950 1.14
15950 0
15950 2.62
15950 2.31
15950 2.88
15950 2.56
15950 0
15950 0
15950 0.05
15951 1.14
15951 0
15951 2.62
15951 2.31
15951 2.88
15951 2.56
15951 0
15951 0
15951 0.05
16004 1.14
16004 0
16004 2.62
16004 2.31
16004 2.88
16004 2.56
16004 0
16004 0
16004 0.05
16005 1.14
16005 0
16005 2.62
16005 2.31
16005 2.88
16005 2.56
16005 0
16005 0
16005 0.05
16006 1.14
16006 0
16006 2.62
16006 2.31
16006 2.88
16006 2.56
16006 0
16006 0
16006 0.05
16057 1.14
16057 0
16057 2.62
16057 2.31
16057 2.88
16057 2.56
16057 0
16057 0
16057 0.05
16058 1.14
16058 0
16058 2.62
16058 2.31
16058 2.88
16058 2.56
16058 0
16058 0
16058 0.05
16059 1.14
16059 0
16059 2.62
16059 2.31
16059 2.88
16059 2.56
16059 0
16059 0
16059 0.05
16107 1.14
16107 0
16107 2.62
16107 2.31
16107 2.88
16107 2.56
16107 0
16107 0
16107 0.05
16138 1.14
16138 0
16138 2.62
16138 2.31
16138 2.88
16138 2.56
16138 0
16138 0
16138 0.05
16154 1.14
16154 0
16154 2.62
16154 2.31
16154 2.88
16154 2.56
16154 0
16154 0
16154 0.05
16155 1.14
16155 0
16155 2.62
16155 2.31
16155 2.88
16155 2.56
16155 0
16155 0
16155 0.05
16242 1.14
16242 0
16242 2.62
16242 2.31
16242 2.88
16242 2.56
16242 0
16242 0
16242 0.05
16245 1.14
16245 0
16245 2.62
16245 2.31
16245 2.88
16245 2.56
16245 0
16245 0
16245 0.05
16334 1.14
16334 0
16334 2.62
16334 2.31
16334 2.88
16334 2.56
16334 0
16334 0
16334 0.05
16378 1.14
16378 0
16378 2.62
16378 2.31
16378 2.88
16378 2.56
16378 0
16378 0
16378 0.05
16513 1.14
16513 0
16513 2.62
16513 2.31
16513 2.88
16513 2.56
16513 0
16513 0
16513 0.05
16558 1.14
16558 0
16558 2.62
16558 2.31
16558 2.88
16558 2.56
16558 0
16558 0
16558 0.05
