pt_graph freq
14500 1
14501 1
14531 1
14533 1
14534 1
14535 1
14564 1
14569 1
14596 1
14604 1
14605 1
14606 1
14629 1
14631 1
14632 1
14638 1
14640 1
14641 1
14669 1
14673 1
14674 1
14694 1
14698 1
14703 1
14705 1
14707 1
14731 1
14732 1
14739 1
14762 1
14770 1
14795 1
14796 1
14799 1
14800 1
14802 1
14825 1
14826 1
14827 1
14830 1
14831 1
14852 1
14857 1
14884 1
14886 1
14887 1
14915 1
14936 1
14966 1
15039 1
15040 1
15043 1
15061 1
15066 1
15068 1
15070 1
15095 1
15096 1
15098 1
15099 1
15100 1
15133 1
15135 1
15136 1
15137 1
15172 1
15175 1
15176 1
15177 1
15178 1
15217 1
15218 1
15219 1
15220 1
15221 1
15222 1
15265 1
15267 1
15268 1
15269 1
15270 1
15312 1
15315 1
15316 1
15317 1
15318 1
15365 1
15366 1
15367 1
15368 1
15369 1
15370 1
15371 1
15372 1
15427 1
15428 1
15429 1
15430 1
15431 1
15491 1
15492 1
15493 1
15494 1
15511 1
15556 1
15557 1
15558 1
15616 1
15620 1
15621 1
15622 1
15682 1
15683 1
15684 1
15685 1
15686 1
15751 1
15752 1
15753 1
15754 1
15814 1
15816 1
15820 1
15821 1
15822 1
15880 1
15886 1
15887 1
15946 1
15947 1
15948 1
15949 1
15950 1
15951 1
16002 1
16004 1
16005 1
16006 1
16007 1
16053 1
16054 1
16055 1
16056 1
16057 1
16058 1
16059 1
16089 1
16103 1
16104 1
16105 1
16106 1
16107 1
16151 1
16152 1
16153 1
16154 1
16155 1
16198 1
16199 1
16200 1
16201 1
16202 1
16243 1
16245 1
16246 1
16247 1
16248 1
16291 1
16292 1
16294 1
16337 1
16338 1
16340 1
16341 1
16384 1
16424 1
16425 1
16426 1
16470 1
16514 1
16515 1
16554 1
16557 1
16600 1
