pt_graph shape
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4010 1
4077 1
4077 1
4077 1
4077 1
4077 1
4077 1
4077 1
4077 1
4077 1
4145 1
4145 1
4145 1
4145 1
4145 1
4145 1
4145 1
4145 1
4145 1
4207 1
4207 1
4207 1
4207 1
4207 1
4207 1
4207 1
4207 1
4207 1
4375 1
4375 1
4375 1
4375 1
4375 1
4375 1
4375 1
4375 1
4375 1
4832 1
4832 1
4832 1
4832 1
4832 1
4832 1
4832 1
4832 1
4832 1
4872 1
4872 1
4872 1
4872 1
4872 1
4872 1
4872 1
4872 1
4872 1
4922 1
4922 1
4922 1
4922 1
4922 1
4922 1
4922 1
4922 1
4922 1
5396 1
5396 1
5396 1
5396 1
5396 1
5396 1
5396 1
5396 1
5396 1
5392 1
5392 1
5392 1
5392 1
5392 1
5392 1
5392 1
5392 1
5392 1
