pt_graph freq
3491 1
3572 1
3726 1
3727 1
3797 1
3802 1
3871 1
3941 1
3942 1
4010 1
4012 1
4013 1
4017 1
4018 1
4020 1
4076 1
4077 1
4078 1
4079 1
4082 1
4084 1
4087 1
4140 1
4141 1
4142 1
4143 1
4144 1
4147 1
4203 1
4204 1
4205 1
4206 1
4207 1
4214 1
4265 1
4266 1
4269 1
4323 1
4377 1
4416 1
4418 1
4419 1
4420 1
4423 1
4461 1
4464 1
4504 1
4547 1
4549 1
4551 1
4589 1
4590 1
4633 1
4635 1
4673 1
4676 1
4678 1
4679 1
4683 1
4716 1
4717 1
4727 1
4750 1
4755 1
4758 1
4759 1
4793 1
4795 1
4797 1
4798 1
4834 1
4835 1
4836 1
4837 1
4838 1
4839 1
4845 1
4874 1
4875 1
4876 1
4877 1
4878 1
4879 1
4885 1
4921 1
4922 1
4923 1
4924 1
4925 1
4928 1
4971 1
4972 1
4973 1
4974 1
4975 1
4976 1
4977 1
4978 1
4982 1
5025 1
5027 1
5028 1
5029 1
5030 1
5031 1
5032 1
5034 1
5086 1
5089 1
5090 1
5091 1
5092 1
5093 1
5094 1
5144 1
5145 1
5147 1
5148 1
5149 1
5150 1
5198 1
5200 1
5248 1
5297 1
5344 1
5345 1
5650 1
5705 1
5809 1
6086 1
