pt_graph cpue_kghour
3642 1.28
3642 0
3642 3.21
3642 2.61
3642 3.73
3642 3.1
3642 0
3642 0
3642 0
3728 1.28
3728 0
3728 3.21
3728 2.61
3728 3.73
3728 3.1
3728 0
3728 0
3728 0
3720 1.28
3720 0
3720 3.21
3720 2.61
3720 3.73
3720 3.1
3720 0
3720 0
3720 0
3800 1.28
3800 0
3800 3.21
3800 2.61
3800 3.73
3800 3.1
3800 0
3800 0
3800 0
3884 1.28
3884 0
3884 3.21
3884 2.61
3884 3.73
3884 3.1
3884 0
3884 0
3884 0
3877 1.28
3877 0
3877 3.21
3877 2.61
3877 3.73
3877 3.1
3877 0
3877 0
3877 0
3873 1.28
3873 0
3873 3.21
3873 2.61
3873 3.73
3873 3.1
3873 0
3873 0
3873 0
3942 1.28
3942 0
3942 3.21
3942 2.61
3942 3.73
3942 3.1
3942 0
3942 0
3942 0
4022 1.28
4022 0
4022 3.21
4022 2.61
4022 3.73
4022 3.1
4022 0
4022 0
4022 0
4076 1.28
4076 0
4076 3.21
4076 2.61
4076 3.73
4076 3.1
4076 0
4076 0
4076 0
4077 1.28
4077 0
4077 3.21
4077 2.61
4077 3.73
4077 3.1
4077 0
4077 0
4077 0
4075 1.28
4075 0
4075 3.21
4075 2.61
4075 3.73
4075 3.1
4075 0
4075 0
4075 0
4074 1.28
4074 0
4074 3.21
4074 2.61
4074 3.73
4074 3.1
4074 0
4074 0
4074 0
4072 1.28
4072 0
4072 3.21
4072 2.61
4072 3.73
4072 3.1
4072 0
4072 0
4072 0
4212 1.28
4212 0
4212 3.21
4212 2.61
4212 3.73
4212 3.1
4212 0
4212 0
4212 0
4210 1.28
4210 0
4210 3.21
4210 2.61
4210 3.73
4210 3.1
4210 0
4210 0
4210 0
4206 1.28
4206 0
4206 3.21
4206 2.61
4206 3.73
4206 3.1
4206 0
4206 0
4206 0
4269 1.28
4269 0
4269 3.21
4269 2.61
4269 3.73
4269 3.1
4269 0
4269 0
4269 0
4266 1.28
4266 0
4266 3.21
4266 2.61
4266 3.73
4266 3.1
4266 0
4266 0
4266 0
4320 1.28
4320 0
4320 3.21
4320 2.61
4320 3.73
4320 3.1
4320 0
4320 0
4320 0
4503 1.28
4503 0
4503 3.21
4503 2.61
4503 3.73
4503 3.1
4503 0
4503 0
4503 0
4545 1.28
4545 0
4545 3.21
4545 2.61
4545 3.73
4545 3.1
4545 0
4545 0
4545 0
4683 1.28
4683 0
4683 3.21
4683 2.61
4683 3.73
4683 3.1
4683 0
4683 0
4683 0
4676 1.28
4676 0
4676 3.21
4676 2.61
4676 3.73
4676 3.1
4676 0
4676 0
4676 0
4718 1.28
4718 0
4718 3.21
4718 2.61
4718 3.73
4718 3.1
4718 0
4718 0
4718 0
4806 1.28
4806 0
4806 3.21
4806 2.61
4806 3.73
4806 3.1
4806 0
4806 0
4806 0
4795 1.28
4795 0
4795 3.21
4795 2.61
4795 3.73
4795 3.1
4795 0
4795 0
4795 0
4794 1.28
4794 0
4794 3.21
4794 2.61
4794 3.73
4794 3.1
4794 0
4794 0
4794 0
4885 1.28
4885 0
4885 3.21
4885 2.61
4885 3.73
4885 3.1
4885 0
4885 0
4885 0
4877 1.28
4877 0
4877 3.21
4877 2.61
4877 3.73
4877 3.1
4877 0
4877 0
4877 0
4875 1.28
4875 0
4875 3.21
4875 2.61
4875 3.73
4875 3.1
4875 0
4875 0
4875 0
4924 1.28
4924 0
4924 3.21
4924 2.61
4924 3.73
4924 3.1
4924 0
4924 0
4924 0
4978 1.28
4978 0
4978 3.21
4978 2.61
4978 3.73
4978 3.1
4978 0
4978 0
4978 0
4977 1.28
4977 0
4977 3.21
4977 2.61
4977 3.73
4977 3.1
4977 0
4977 0
4977 0
4976 1.28
4976 0
4976 3.21
4976 2.61
4976 3.73
4976 3.1
4976 0
4976 0
4976 0
4974 1.28
4974 0
4974 3.21
4974 2.61
4974 3.73
4974 3.1
4974 0
4974 0
4974 0
4975 1.28
4975 0
4975 3.21
4975 2.61
4975 3.73
4975 3.1
4975 0
4975 0
4975 0
4972 1.28
4972 0
4972 3.21
4972 2.61
4972 3.73
4972 3.1
4972 0
4972 0
4972 0
5033 1.28
5033 0
5033 3.21
5033 2.61
5033 3.73
5033 3.1
5033 0
5033 0
5033 0
5032 1.28
5032 0
5032 3.21
5032 2.61
5032 3.73
5032 3.1
5032 0
5032 0
5032 0
5028 1.28
5028 0
5028 3.21
5028 2.61
5028 3.73
5028 3.1
5028 0
5028 0
5028 0
5093 1.28
5093 0
5093 3.21
5093 2.61
5093 3.73
5093 3.1
5093 0
5093 0
5093 0
5091 1.28
5091 0
5091 3.21
5091 2.61
5091 3.73
5091 3.1
5091 0
5091 0
5091 0
5149 1.28
5149 0
5149 3.21
5149 2.61
5149 3.73
5149 3.1
5149 0
5149 0
5149 0
5249 1.28
5249 0
5249 3.21
5249 2.61
5249 3.73
5249 3.1
5249 0
5249 0
5249 0
5346 1.28
5346 0
5346 3.21
5346 2.61
5346 3.73
5346 3.1
5346 0
5346 0
5346 0
5395 1.28
5395 0
5395 3.21
5395 2.61
5395 3.73
5395 3.1
5395 0
5395 0
5395 0
5549 1.28
5549 0
5549 3.21
5549 2.61
5549 3.73
5549 3.1
5549 0
5549 0
5549 0
