pt_graph cpue_kghour
16135 1.06
16135 0
16135 2.69
16135 2.07
16135 2
16135 2.37
16135 0
16135 0
16135 0
16182 1.06
16182 0
16182 2.69
16182 2.07
16182 2
16182 2.37
16182 0
16182 0
16182 0
16232 1.06
16232 0
16232 2.69
16232 2.07
16232 2
16232 2.37
16232 0
16232 0
16232 0
16276 1.06
16276 0
16276 2.69
16276 2.07
16276 2
16276 2.37
16276 0
16276 0
16276 0
16290 1.06
16290 0
16290 2.69
16290 2.07
16290 2
16290 2.37
16290 0
16290 0
16290 0
16321 1.06
16321 0
16321 2.69
16321 2.07
16321 2
16321 2.37
16321 0
16321 0
16321 0
16332 1.06
16332 0
16332 2.69
16332 2.07
16332 2
16332 2.37
16332 0
16332 0
16332 0
16338 1.06
16338 0
16338 2.69
16338 2.07
16338 2
16338 2.37
16338 0
16338 0
16338 0
16339 1.06
16339 0
16339 2.69
16339 2.07
16339 2
16339 2.37
16339 0
16339 0
16339 0
16363 1.06
16363 0
16363 2.69
16363 2.07
16363 2
16363 2.37
16363 0
16363 0
16363 0
16365 1.06
16365 0
16365 2.69
16365 2.07
16365 2
16365 2.37
16365 0
16365 0
16365 0
16366 1.06
16366 0
16366 2.69
16366 2.07
16366 2
16366 2.37
16366 0
16366 0
16366 0
16369 1.06
16369 0
16369 2.69
16369 2.07
16369 2
16369 2.37
16369 0
16369 0
16369 0
16371 1.06
16371 0
16371 2.69
16371 2.07
16371 2
16371 2.37
16371 0
16371 0
16371 0
16373 1.06
16373 0
16373 2.69
16373 2.07
16373 2
16373 2.37
16373 0
16373 0
16373 0
16380 1.06
16380 0
16380 2.69
16380 2.07
16380 2
16380 2.37
16380 0
16380 0
16380 0
16381 1.06
16381 0
16381 2.69
16381 2.07
16381 2
16381 2.37
16381 0
16381 0
16381 0
16383 1.06
16383 0
16383 2.69
16383 2.07
16383 2
16383 2.37
16383 0
16383 0
16383 0
16384 1.06
16384 0
16384 2.69
16384 2.07
16384 2
16384 2.37
16384 0
16384 0
16384 0
16422 1.06
16422 0
16422 2.69
16422 2.07
16422 2
16422 2.37
16422 0
16422 0
16422 0
16424 1.06
16424 0
16424 2.69
16424 2.07
16424 2
16424 2.37
16424 0
16424 0
16424 0
16425 1.06
16425 0
16425 2.69
16425 2.07
16425 2
16425 2.37
16425 0
16425 0
16425 0
16426 1.06
16426 0
16426 2.69
16426 2.07
16426 2
16426 2.37
16426 0
16426 0
16426 0
16452 1.06
16452 0
16452 2.69
16452 2.07
16452 2
16452 2.37
16452 0
16452 0
16452 0
16455 1.06
16455 0
16455 2.69
16455 2.07
16455 2
16455 2.37
16455 0
16455 0
16455 0
16458 1.06
16458 0
16458 2.69
16458 2.07
16458 2
16458 2.37
16458 0
16458 0
16458 0
16463 1.06
16463 0
16463 2.69
16463 2.07
16463 2
16463 2.37
16463 0
16463 0
16463 0
16469 1.06
16469 0
16469 2.69
16469 2.07
16469 2
16469 2.37
16469 0
16469 0
16469 0
16470 1.06
16470 0
16470 2.69
16470 2.07
16470 2
16470 2.37
16470 0
16470 0
16470 0
16495 1.06
16495 0
16495 2.69
16495 2.07
16495 2
16495 2.37
16495 0
16495 0
16495 0
16496 1.06
16496 0
16496 2.69
16496 2.07
16496 2
16496 2.37
16496 0
16496 0
16496 0
16497 1.06
16497 0
16497 2.69
16497 2.07
16497 2
16497 2.37
16497 0
16497 0
16497 0
16498 1.06
16498 0
16498 2.69
16498 2.07
16498 2
16498 2.37
16498 0
16498 0
16498 0
16505 1.06
16505 0
16505 2.69
16505 2.07
16505 2
16505 2.37
16505 0
16505 0
16505 0
16514 1.06
16514 0
16514 2.69
16514 2.07
16514 2
16514 2.37
16514 0
16514 0
16514 0
16515 1.06
16515 0
16515 2.69
16515 2.07
16515 2
16515 2.37
16515 0
16515 0
16515 0
16556 1.06
16556 0
16556 2.69
16556 2.07
16556 2
16556 2.37
16556 0
16556 0
16556 0
16557 1.06
16557 0
16557 2.69
16557 2.07
16557 2
16557 2.37
16557 0
16557 0
16557 0
16558 1.06
16558 0
16558 2.69
16558 2.07
16558 2
16558 2.37
16558 0
16558 0
16558 0
16584 1.06
16584 0
16584 2.69
16584 2.07
16584 2
16584 2.37
16584 0
16584 0
16584 0
16591 1.06
16591 0
16591 2.69
16591 2.07
16591 2
16591 2.37
16591 0
16591 0
16591 0
16592 1.06
16592 0
16592 2.69
16592 2.07
16592 2
16592 2.37
16592 0
16592 0
16592 0
16593 1.06
16593 0
16593 2.69
16593 2.07
16593 2
16593 2.37
16593 0
16593 0
16593 0
16599 1.06
16599 0
16599 2.69
16599 2.07
16599 2
16599 2.37
16599 0
16599 0
16599 0
16600 1.06
16600 0
16600 2.69
16600 2.07
16600 2
16600 2.37
16600 0
16600 0
16600 0
16601 1.06
16601 0
16601 2.69
16601 2.07
16601 2
16601 2.37
16601 0
16601 0
16601 0
16625 1.06
16625 0
16625 2.69
16625 2.07
16625 2
16625 2.37
16625 0
16625 0
16625 0
16627 1.06
16627 0
16627 2.69
16627 2.07
16627 2
16627 2.37
16627 0
16627 0
16627 0
16635 1.06
16635 0
16635 2.69
16635 2.07
16635 2
16635 2.37
16635 0
16635 0
16635 0
16639 1.06
16639 0
16639 2.69
16639 2.07
16639 2
16639 2.37
16639 0
16639 0
16639 0
16640 1.06
16640 0
16640 2.69
16640 2.07
16640 2
16640 2.37
16640 0
16640 0
16640 0
16642 1.06
16642 0
16642 2.69
16642 2.07
16642 2
16642 2.37
16642 0
16642 0
16642 0
16643 1.06
16643 0
16643 2.69
16643 2.07
16643 2
16643 2.37
16643 0
16643 0
16643 0
16645 1.06
16645 0
16645 2.69
16645 2.07
16645 2
16645 2.37
16645 0
16645 0
16645 0
16672 1.06
16672 0
16672 2.69
16672 2.07
16672 2
16672 2.37
16672 0
16672 0
16672 0
16673 1.06
16673 0
16673 2.69
16673 2.07
16673 2
16673 2.37
16673 0
16673 0
16673 0
16684 1.06
16684 0
16684 2.69
16684 2.07
16684 2
16684 2.37
16684 0
16684 0
16684 0
16687 1.06
16687 0
16687 2.69
16687 2.07
16687 2
16687 2.37
16687 0
16687 0
16687 0
16714 1.06
16714 0
16714 2.69
16714 2.07
16714 2
16714 2.37
16714 0
16714 0
16714 0
16715 1.06
16715 0
16715 2.69
16715 2.07
16715 2
16715 2.37
16715 0
16715 0
16715 0
16717 1.06
16717 0
16717 2.69
16717 2.07
16717 2
16717 2.37
16717 0
16717 0
16717 0
16725 1.06
16725 0
16725 2.69
16725 2.07
16725 2
16725 2.37
16725 0
16725 0
16725 0
16728 1.06
16728 0
16728 2.69
16728 2.07
16728 2
16728 2.37
16728 0
16728 0
16728 0
16730 1.06
16730 0
16730 2.69
16730 2.07
16730 2
16730 2.37
16730 0
16730 0
16730 0
16731 1.06
16731 0
16731 2.69
16731 2.07
16731 2
16731 2.37
16731 0
16731 0
16731 0
16733 1.06
16733 0
16733 2.69
16733 2.07
16733 2
16733 2.37
16733 0
16733 0
16733 0
16734 1.06
16734 0
16734 2.69
16734 2.07
16734 2
16734 2.37
16734 0
16734 0
16734 0
16764 1.06
16764 0
16764 2.69
16764 2.07
16764 2
16764 2.37
16764 0
16764 0
16764 0
16766 1.06
16766 0
16766 2.69
16766 2.07
16766 2
16766 2.37
16766 0
16766 0
16766 0
16774 1.06
16774 0
16774 2.69
16774 2.07
16774 2
16774 2.37
16774 0
16774 0
16774 0
16776 1.06
16776 0
16776 2.69
16776 2.07
16776 2
16776 2.37
16776 0
16776 0
16776 0
16777 1.06
16777 0
16777 2.69
16777 2.07
16777 2
16777 2.37
16777 0
16777 0
16777 0
16779 1.06
16779 0
16779 2.69
16779 2.07
16779 2
16779 2.37
