pt_graph freq
16130 1
16183 1
16287 1
16449 1
16466 1
16506 1
16770 1
16781 1
16809 1
16857 1
16879 1
16909 1
16962 1
16991 1
16997 1
17043 1
17089 1
17168 1
17238 1
17352 1
17362 1
17389 1
17426 1
17428 1
17456 1
17457 1
17485 1
17487 1
17494 1
17498 1
17643 1
17754 1
17785 1
17792 1
17880 1
17933 1
17965 1
17973 1
18012 1
18033 1
18074 1
18121 1
18122 1
18164 1
18173 1
18217 1
18220 1
18249 1
18267 1
18311 1
18337 1
18351 1
18352 1
18521 1
18600 1
18607 1
18629 1
18631 1
18660 1
18704 1
18705 1
18739 1
18741 1
18784 1
18826 1
18830 1
18841 1
18845 1
18882 1
18886 1
18905 1
18912 1
18951 1
18952 1
19001 1
19002 1
19028 1
19100 1
19169 1
19295 1
