pt_graph met
16035 2
16138 2
16227 2
16228 2
16233 2
16271 2
16278 2
16290 2
16291 2
16316 2
16320 2
16323 2
16338 2
16339 2
16365 2
16366 2
16371 2
16380 2
16383 2
16384 2
16411 2
16412 2
16452 2
16453 2
16463 2
16464 2
16465 2
16500 2
16511 2
16515 2
16538 2
16541 2
16542 2
16550 2
16556 2
16557 2
16583 2
16592 2
16594 2
16601 2
16632 2
16633 2
16672 2
16675 2
16678 2
16689 2
16719 2
16723 2
16726 2
16732 2
16734 2
16773 2
16780 2
16782 2
16822 2
16824 2
16828 2
16829 2
16869 2
16872 2
16918 2
16920 2
16923 2
16955 2
16957 2
17000 2
17001 2
17007 2
17033 2
17043 2
17081 2
17133 2
17161 2
17168 2
17203 2
17204 2
17213 2
17214 2
17237 2
17240 2
17244 2
17248 2
17251 2
17282 2
17283 2
17284 2
17285 2
17312 2
17315 2
17317 2
17320 2
17327 2
17329 2
17352 2
17353 2
17354 2
17356 2
17357 2
17360 2
17361 2
17386 2
17387 2
17389 2
17398 2
17417 2
17418 2
17419 2
17420 2
17421 2
17422 2
17424 2
17425 2
17429 2
17449 2
17451 2
17453 2
17485 2
17488 2
17489 2
17490 2
17491 2
17499 2
17524 2
17525 2
17526 2
17527 2
17528 2
17529 2
17530 2
17531 2
17532 2
17538 2
17562 2
17565 2
17566 2
17568 2
17569 2
17571 2
17578 2
17602 2
17606 2
17607 2
17610 2
17612 2
17613 2
17620 2
17651 2
17652 2
17656 2
17660 2
17661 2
17663 2
17664 2
17665 2
17666 2
17696 2
17698 2
17699 2
17700 2
17703 2
17708 2
17709 2
17743 2
17744 2
17745 2
17750 2
17753 2
17755 2
17790 2
17796 2
17797 2
17800 2
17801 2
17832 2
17835 2
17836 2
17839 2
17840 2
17841 2
17845 2
17847 2
17880 2
17882 2
17883 2
17884 2
17885 2
17886 2
17887 2
17888 2
17891 2
17892 2
17893 2
17929 2
17930 2
17931 2
17932 2
17933 2
17934 2
17937 2
17939 2
17940 2
17941 2
17970 2
17973 2
17974 2
17976 2
17977 2
17980 2
17981 2
17983 2
18020 2
18021 2
18022 2
18024 2
18026 2
18028 2
18033 2
18034 2
18035 2
18064 2
18069 2
18073 2
18074 2
18079 2
18081 2
18115 2
18116 2
18118 2
18122 2
18125 2
18129 2
18158 2
18160 2
18164 2
18168 2
18169 2
18171 2
18175 2
18212 2
18213 2
18215 2
18217 2
18218 2
18220 2
18222 2
18223 2
18259 2
18260 2
18261 2
18262 2
18266 2
18268 2
18269 2
18306 2
18307 2
18308 2
18309 2
18311 2
18312 2
18313 2
18314 2
18315 2
18316 2
18349 2
18350 2
18351 2
18352 2
18354 2
18355 2
18356 2
18357 2
18388 2
18389 2
18390 2
18391 2
18392 2
18409 2
18422 2
18423 2
18424 2
18426 2
18449 2
18453 2
18455 2
18457 2
18458 2
18459 2
18461 2
18478 2
18481 2
18486 2
18489 2
18491 2
18492 2
18493 2
18494 2
18518 2
18523 2
18524 2
18541 2
18543 2
18548 2
18573 2
18575 2
18577 2
18578 2
18579 2
18580 2
18581 2
18599 2
18601 2
18602 2
18603 2
18608 2
18626 2
18628 2
18629 2
18631 2
18633 2
18634 2
18635 2
18636 2
18637 2
18656 2
18659 2
18662 2
18664 2
18665 2
18669 2
18670 2
18689 2
18690 2
18694 2
18698 2
18701 2
18702 2
18703 2
18704 2
18705 2
18707 2
18710 2
18741 2
18743 2
18744 2
18745 2
18746 2
18747 2
18748 2
18750 2
18751 2
18752 2
18753 2
18754 2
18782 2
18785 2
18789 2
18790 2
18792 2
18794 2
18795 2
18796 2
18797 2
18798 2
18799 2
18826 2
18829 2
18834 2
18836 2
18838 2
18842 2
18868 2
18871 2
18877 2
18882 2
18885 2
18906 2
18907 2
18909 2
18916 2
18917 2
18918 2
18919 2
18920 2
18921 2
18922 2
18923 2
18924 2
18925 2
18950 2
18958 2
18959 2
18961 2
18962 2
18965 2
18989 2
18990 2
18991 2
18992 2
18995 2
18997 2
18998 2
18999 2
19001 2
19002 2
19003 2
19028 2
19029 2
19030 2
19034 2
19036 2
19037 2
19038 2
19039 2
19064 2
19065 2
19066 2
19071 2
19104 2
19107 2
19138 2
19203 2
