pt_graph met
8495 2
8550 2
8551 2
8600 2
8601 2
8602 2
8603 2
8649 2
8650 2
8696 2
8873 2
8916 2
8956 2
8958 2
8960 2
8997 2
8998 2
8999 2
9000 2
9036 2
9037 2
9039 2
9045 2
9074 2
9075 2
9078 2
9080 2
9081 2
9115 2
9116 2
9119 2
9129 2
9152 2
9157 2
9159 2
9160 2
9176 2
9198 2
9199 2
9200 2
9201 2
9217 2
9218 2
9243 2
9244 2
9245 2
9258 2
9259 2
9263 2
9290 2
9291 2
9298 2
9336 2
9342 2
9345 2
9363 2
9364 2
9394 2
9395 2
9396 2
9402 2
9412 2
9417 2
9418 2
9420 2
9450 2
9452 2
9475 2
9476 2
9477 2
9478 2
9479 2
9480 2
9506 2
9514 2
9515 2
9517 2
9518 2
9535 2
9539 2
9540 2
9541 2
9542 2
9543 2
9603 2
9605 2
9607 2
9608 2
9609 2
9610 2
9611 2
9613 2
9657 2
9666 2
9677 2
9680 2
9681 2
9682 2
9684 2
9686 2
9687 2
9688 2
9689 2
9690 2
9728 2
9732 2
9758 2
9760 2
9761 2
9762 2
9763 2
9765 2
9766 2
9767 2
9768 2
9839 2
9841 2
9842 2
9843 2
9844 2
9847 2
9848 2
9849 2
9890 2
9892 2
9898 2
9919 2
9920 2
9924 2
9925 2
9926 2
9928 2
9929 2
9930 2
9931 2
9965 2
9973 2
9978 2
9981 2
10001 2
10002 2
10003 2
10004 2
10005 2
10008 2
10010 2
10011 2
10012 2
10013 2
10048 2
10057 2
10063 2
10064 2
10065 2
10067 2
10084 2
10085 2
10087 2
10088 2
10089 2
10091 2
10093 2
10095 2
10096 2
10136 2
10137 2
10143 2
10144 2
10145 2
10146 2
10147 2
10150 2
10169 2
10170 2
10172 2
10173 2
10174 2
10175 2
10176 2
10177 2
10213 2
10216 2
10219 2
10221 2
10223 2
10224 2
10229 2
10231 2
10258 2
10259 2
10261 2
10295 2
10306 2
10307 2
10311 2
10313 2
10336 2
10337 2
10340 2
10342 2
10343 2
10384 2
10387 2
10389 2
10390 2
10391 2
10394 2
10395 2
10422 2
10423 2
10426 2
10427 2
10429 2
10430 2
10475 2
10482 2
10483 2
10484 2
10485 2
10486 2
10487 2
10488 2
10489 2
10497 2
10498 2
10521 2
10522 2
10525 2
10526 2
10580 2
10585 2
10586 2
10587 2
10590 2
10595 2
10596 2
10620 2
10622 2
10623 2
10624 2
10625 2
10626 2
10688 2
10718 2
10719 2
10721 2
10722 2
10723 2
10724 2
10725 2
10790 2
10794 2
10819 2
10821 2
10822 2
10823 2
10824 2
10825 2
10826 2
10889 2
10890 2
10895 2
10921 2
10922 2
10923 2
10925 2
10926 2
10927 2
10928 2
10996 2
11005 2
11009 2
11030 2
11034 2
11035 2
11036 2
11037 2
11108 2
11114 2
11115 2
11144 2
11145 2
11146 2
11147 2
11233 2
11236 2
11261 2
11264 2
11265 2
11266 2
11267 2
11350 2
11385 2
11386 2
11387 2
11388 2
11389 2
11480 2
11484 2
11501 2
11507 2
11508 2
11512 2
11513 2
11514 2
11610 2
11626 2
11627 2
11628 2
11633 2
11635 2
11640 2
11641 2
11642 2
11643 2
11732 2
11752 2
11753 2
11754 2
11756 2
11757 2
11758 2
11759 2
11761 2
11762 2
11766 2
11769 2
11770 2
11771 2
11773 2
11866 2
11882 2
11884 2
11891 2
11894 2
11895 2
11899 2
11900 2
11901 2
11902 2
11904 2
11990 2
11997 2
12006 2
12007 2
12008 2
12010 2
12011 2
12014 2
12016 2
12017 2
12018 2
12020 2
12023 2
12024 2
12025 2
12026 2
12027 2
12028 2
12128 2
12129 2
12131 2
12133 2
12134 2
12136 2
12137 2
12138 2
12140 2
12144 2
12145 2
12146 2
12147 2
12148 2
12149 2
12150 2
12256 2
12260 2
12266 2
12268 2
12269 2
12270 2
12271 2
12272 2
12273 2
12274 2
12275 2
12368 2
12381 2
12384 2
12386 2
12388 2
12394 2
12395 2
12396 2
12399 2
12400 2
12401 2
12402 2
12405 2
12500 2
12501 2
12511 2
12516 2
12520 2
12522 2
12523 2
12524 2
12525 2
12526 2
12527 2
12528 2
12529 2
12530 2
12531 2
12532 2
12533 2
12534 2
12535 2
12536 2
12537 2
12628 2
12643 2
12645 2
12646 2
12651 2
12652 2
12654 2
12655 2
12656 2
12657 2
12658 2
12659 2
12660 2
12661 2
12748 2
12760 2
12764 2
12765 2
12766 2
12767 2
12768 2
12769 2
12862 2
12863 2
12864 2
12867 2
12880 2
12883 2
12884 2
12885 2
12886 2
12888 2
12889 2
12984 2
13005 2
13006 2
13007 2
13008 2
13009 2
13010 2
13096 2
13098 2
13099 2
13103 2
13117 2
13118 2
13119 2
13121 2
13123 2
13206 2
13208 2
13209 2
13220 2
13223 2
13224 2
13297 2
13299 2
13304 2
13318 2
13319 2
13320 2
13324 2
13383 2
13399 2
13400 2
13402 2
13405 2
13407 2
13408 2
13462 2
13473 2
13484 2
13486 2
13488 2
13490 2
13534 2
13550 2
13556 2
13559 2
13617 2
13618 2
13619 2
13652 2
13664 2
13670 2
13671 2
13672 2
13674 2
13675 2
13676 2
13709 2
13726 2
13728 2
13729 2
13730 2
13731 2
13781 2
13782 2
13783 2
13784 2
13785 2
13823 2
13829 2
13831 2
13835 2
13836 2
13837 2
13838 2
13885 2
13888 2
13889 2
13892 2
13893 2
13927 2
13942 2
13944 2
13947 2
13948 2
13949 2
13950 2
13951 2
13952 2
13997 2
14005 2
14006 2
14008 2
14009 2
14038 2
14045 2
14049 2
14053 2
14054 2
14055 2
14056 2
14058 2
14059 2
14062 2
14064 2
14099 2
14106 2
14107 2
14109 2
14113 2
14151 2
14152 2
14166 2
14169 2
14203 2
14210 2
14211 2
14212 2
14213 2
14214 2
14216 2
14246 2
14256 2
14257 2
14258 2
14259 2
14260 2
14261 2
14263 2
14285 2
14287 2
14290 2
14291 2
14296 2
14300 2
14301 2
14304 2
14305 2
14306 2
14307 2
14308 2
14309 2
14310 2
14330 2
14337 2
14338 2
14343 2
14344 2
14345 2
14348 2
14349 2
14350 2
14351 2
14355 2
14380 2
14383 2
14386 2
14387 2
14391 2
14392 2
14394 2
14395 2
14396 2
14397 2
14422 2
14423 2
14424 2
14425 2
14426 2
14427 2
14429 2
14432 2
14433 2
14435 2
14438 2
14462 2
14463 2
14464 2
14465 2
14466 2
14470 2
14472 2
14473 2
14475 2
14499 2
14501 2
14507 2
14508 2
14509 2
14529 2
14531 2
14533 2
14534 2
14537 2
14538 2
14540 2
14561 2
14565 2
14566 2
14569 2
14570 2
14571 2
14572 2
14573 2
14596 2
14598 2
14600 2
14601 2
14603 2
14604 2
14605 2
14606 2
14607 2
14626 2
14633 2
14635 2
14636 2
14640 2
14641 2
14662 2
14663 2
14668 2
14673 2
14674 2
14694 2
14698 2
14699 2
14700 2
14706 2
14707 2
14729 2
14731 2
14732 2
14733 2
14739 2
14759 2
14770 2
14788 2
14794 2
14795 2
14796 2
14801 2
14802 2
14825 2
14826 2
14827 2
14828 2
14830 2
14831 2
14857 2
14886 2
14887 2
14913 2
14915 2
14967 2
14987 2
14990 2
