pt_graph freq
8784 1
8828 1
8830 1
8872 1
8873 1
8874 1
8875 1
8916 1
8917 1
8956 1
8998 1
9036 1
9042 1
9047 1
9075 1
9076 1
9077 1
9082 1
9116 1
9117 1
9118 1
9125 1
9126 1
9127 1
9133 1
9156 1
9159 1
9160 1
9170 1
9202 1
9203 1
9212 1
9256 1
9257 1
9263 1
9304 1
9305 1
9306 1
9357 1
9358 1
9363 1
9411 1
9412 1
9418 1
9477 1
9478 1
9597 1
9687 1
9761 1
9765 1
9766 1
10011 1
10068 1
10094 1
10095 1
10137 1
10173 1
10232 1
10304 1
10313 1
10400 1
10595 1
10621 1
10822 1
10823 1
10889 1
10895 1
11114 1
11144 1
11382 1
11383 1
11510 1
11511 1
11513 1
11634 1
11635 1
11641 1
11763 1
11764 1
11765 1
11767 1
11770 1
11887 1
11891 1
11892 1
11893 1
11894 1
11895 1
11899 1
11901 1
12014 1
12016 1
12017 1
12018 1
12019 1
12021 1
12022 1
12023 1
12024 1
12025 1
12026 1
12136 1
12137 1
12138 1
12139 1
12140 1
12143 1
12144 1
12145 1
12146 1
12147 1
12148 1
12258 1
12261 1
12262 1
12264 1
12265 1
12266 1
12267 1
12268 1
12269 1
12271 1
12272 1
12391 1
12392 1
12393 1
12394 1
12397 1
12398 1
12399 1
12400 1
12523 1
12524 1
12525 1
12526 1
12658 1
12766 1
12868 1
12885 1
13009 1
13224 1
13304 1
13321 1
13322 1
13323 1
13399 1
13406 1
13407 1
13488 1
13544 1
13552 1
13553 1
13554 1
13558 1
13617 1
13618 1
13675 1
13729 1
13778 1
13781 1
13783 1
13830 1
13866 1
13884 1
13889 1
13890 1
13946 1
13948 1
13952 1
14003 1
14034 1
14061 1
14064 1
14113 1
14152 1
14168 1
14256 1
14257 1
14259 1
14261 1
14284 1
14303 1
14311 1
14396 1
14435 1
14438 1
14468 1
14471 1
14473 1
14505 1
14565 1
14572 1
14573 1
14604 1
14633 1
14638 1
14639 1
14665 1
14666 1
14670 1
14671 1
14672 1
14705 1
14732 1
14738 1
14762 1
14763 1
14794 1
14795 1
14796 1
14798 1
14826 1
14827 1
14828 1
14830 1
14831 1
14832 1
14861 1
14862 1
14886 1
19542 1
