pt_graph cpue_kghour
9892 1.01
9892 0
9892 2.08
9892 2.03
9892 2.06
9892 2.05
9892 0
9892 0
9892 0
9893 1.01
9893 0
9893 2.08
9893 2.03
9893 2.06
9893 2.05
9893 0
9893 0
9893 0
9894 1.01
9894 0
9894 2.08
9894 2.03
9894 2.06
9894 2.05
9894 0
9894 0
9894 0
9895 1.01
9895 0
9895 2.08
9895 2.03
9895 2.06
9895 2.05
9895 0
9895 0
9895 0
9896 1.01
9896 0
9896 2.08
9896 2.03
9896 2.06
9896 2.05
9896 0
9896 0
9896 0
9898 1.01
9898 0
9898 2.08
9898 2.03
9898 2.06
9898 2.05
9898 0
9898 0
9898 0
9970 1.01
9970 0
9970 2.08
9970 2.03
9970 2.06
9970 2.05
9970 0
9970 0
9970 0
9972 1.01
9972 0
9972 2.08
9972 2.03
9972 2.06
9972 2.05
9972 0
9972 0
9972 0
9973 1.01
9973 0
9973 2.08
9973 2.03
9973 2.06
9973 2.05
9973 0
9973 0
9973 0
9974 1.01
9974 0
9974 2.08
9974 2.03
9974 2.06
9974 2.05
9974 0
9974 0
9974 0
9975 1.01
9975 0
9975 2.08
9975 2.03
9975 2.06
9975 2.05
9975 0
9975 0
9975 0
9978 1.01
9978 0
9978 2.08
9978 2.03
9978 2.06
9978 2.05
9978 0
9978 0
9978 0
9979 1.01
9979 0
9979 2.08
9979 2.03
9979 2.06
9979 2.05
9979 0
9979 0
9979 0
9980 1.01
9980 0
9980 2.08
9980 2.03
9980 2.06
9980 2.05
9980 0
9980 0
9980 0
9981 1.01
9981 0
9981 2.08
9981 2.03
9981 2.06
9981 2.05
9981 0
9981 0
9981 0
9982 1.01
9982 0
9982 2.08
9982 2.03
9982 2.06
9982 2.05
9982 0
9982 0
9982 0
10053 1.01
10053 0
10053 2.08
10053 2.03
10053 2.06
10053 2.05
10053 0
10053 0
10053 0
10054 1.01
10054 0
10054 2.08
10054 2.03
10054 2.06
10054 2.05
10054 0
10054 0
10054 0
10055 1.01
10055 0
10055 2.08
10055 2.03
10055 2.06
10055 2.05
10055 0
10055 0
10055 0
10056 1.01
10056 0
10056 2.08
10056 2.03
10056 2.06
10056 2.05
10056 0
10056 0
10056 0
10057 1.01
10057 0
10057 2.08
10057 2.03
10057 2.06
10057 2.05
10057 0
10057 0
10057 0
10058 1.01
10058 0
10058 2.08
10058 2.03
10058 2.06
10058 2.05
10058 0
10058 0
10058 0
10059 1.01
10059 0
10059 2.08
10059 2.03
10059 2.06
10059 2.05
10059 0
10059 0
10059 0
10061 1.01
10061 0
10061 2.08
10061 2.03
10061 2.06
10061 2.05
10061 0
10061 0
10061 0
10062 1.01
10062 0
10062 2.08
10062 2.03
10062 2.06
10062 2.05
10062 0
10062 0
10062 0
10063 1.01
10063 0
10063 2.08
10063 2.03
10063 2.06
10063 2.05
10063 0
10063 0
10063 0
10064 1.01
10064 0
10064 2.08
10064 2.03
10064 2.06
10064 2.05
10064 0
10064 0
10064 0
10065 1.01
10065 0
10065 2.08
10065 2.03
10065 2.06
10065 2.05
10065 0
10065 0
10065 0
10066 1.01
10066 0
10066 2.08
10066 2.03
10066 2.06
10066 2.05
10066 0
10066 0
10066 0
10130 1.01
10130 0
10130 2.08
10130 2.03
10130 2.06
10130 2.05
10130 0
10130 0
10130 0
10134 1.01
10134 0
10134 2.08
10134 2.03
10134 2.06
10134 2.05
10134 0
10134 0
10134 0
10135 1.01
10135 0
10135 2.08
10135 2.03
10135 2.06
10135 2.05
10135 0
10135 0
10135 0
10136 1.01
10136 0
10136 2.08
10136 2.03
10136 2.06
10136 2.05
10136 0
10136 0
10136 0
10137 1.01
10137 0
10137 2.08
10137 2.03
10137 2.06
10137 2.05
10137 0
10137 0
10137 0
10138 1.01
10138 0
10138 2.08
10138 2.03
10138 2.06
10138 2.05
10138 0
10138 0
10138 0
10139 1.01
10139 0
10139 2.08
10139 2.03
10139 2.06
10139 2.05
10139 0
10139 0
10139 0
10140 1.01
10140 0
10140 2.08
10140 2.03
10140 2.06
10140 2.05
10140 0
10140 0
10140 0
10141 1.01
10141 0
10141 2.08
10141 2.03
10141 2.06
10141 2.05
10141 0
10141 0
10141 0
10142 1.01
10142 0
10142 2.08
10142 2.03
10142 2.06
10142 2.05
10142 0
10142 0
10142 0
10143 1.01
10143 0
10143 2.08
10143 2.03
10143 2.06
10143 2.05
10143 0
10143 0
10143 0
10144 1.01
10144 0
10144 2.08
10144 2.03
10144 2.06
10144 2.05
10144 0
10144 0
10144 0
10145 1.01
10145 0
10145 2.08
10145 2.03
10145 2.06
10145 2.05
10145 0
10145 0
10145 0
10146 1.01
10146 0
10146 2.08
10146 2.03
10146 2.06
10146 2.05
10146 0
10146 0
10146 0
10147 1.01
10147 0
10147 2.08
10147 2.03
10147 2.06
10147 2.05
10147 0
10147 0
10147 0
10148 1.01
10148 0
10148 2.08
10148 2.03
10148 2.06
10148 2.05
10148 0
10148 0
10148 0
10212 1.01
10212 0
10212 2.08
10212 2.03
10212 2.06
10212 2.05
10212 0
10212 0
10212 0
10213 1.01
10213 0
10213 2.08
10213 2.03
10213 2.06
10213 2.05
10213 0
10213 0
10213 0
10215 1.01
10215 0
10215 2.08
10215 2.03
10215 2.06
10215 2.05
10215 0
10215 0
10215 0
10216 1.01
10216 0
10216 2.08
10216 2.03
10216 2.06
10216 2.05
10216 0
10216 0
10216 0
10217 1.01
10217 0
10217 2.08
10217 2.03
10217 2.06
10217 2.05
10217 0
10217 0
10217 0
10218 1.01
10218 0
10218 2.08
10218 2.03
10218 2.06
10218 2.05
10218 0
10218 0
10218 0
10219 1.01
10219 0
10219 2.08
10219 2.03
10219 2.06
10219 2.05
10219 0
10219 0
10219 0
10220 1.01
10220 0
10220 2.08
10220 2.03
10220 2.06
10220 2.05
10220 0
10220 0
10220 0
10221 1.01
10221 0
10221 2.08
10221 2.03
10221 2.06
10221 2.05
10221 0
10221 0
10221 0
10222 1.01
10222 0
10222 2.08
10222 2.03
10222 2.06
10222 2.05
10222 0
10222 0
10222 0
10223 1.01
10223 0
10223 2.08
10223 2.03
