pt_graph shape
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9339 1
9390 1
9390 1
9390 1
9390 1
9390 1
9390 1
9390 1
9390 1
9390 1
9391 1
9391 1
9391 1
9391 1
9391 1
9391 1
9391 1
9391 1
9391 1
9393 1
9393 1
9393 1
9393 1
9393 1
9393 1
9393 1
9393 1
9393 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9394 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9395 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9396 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9398 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9450 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9451 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9452 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9453 1
9455 1
9455 1
9455 1
9455 1
9455 1
9455 1
9455 1
9455 1
9455 1
9508 1
9508 1
9508 1
9508 1
9508 1
9508 1
9508 1
9508 1
9508 1
9511 1
9511 1
9511 1
9511 1
9511 1
9511 1
9511 1
9511 1
9511 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9512 1
9513 1
9513 1
9513 1
9513 1
9513 1
9513 1
9513 1
9513 1
9513 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9514 1
9519 1
9519 1
9519 1
9519 1
9519 1
9519 1
9519 1
9519 1
9519 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9582 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9583 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9584 1
9585 1
9585 1
9585 1
9585 1
9585 1
9585 1
9585 1
9585 1
9585 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9656 1
9657 1
9657 1
9657 1
9657 1
9657 1
9657 1
9657 1
9657 1
9657 1
9658 1
9658 1
9658 1
9658 1
9658 1
9658 1
9658 1
9658 1
9658 1
9659 1
9659 1
9659 1
9659 1
9659 1
9659 1
9659 1
9659 1
9659 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9733 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9734 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9806 1
9814 1
9814 1
9814 1
9814 1
9814 1
9814 1
9814 1
9814 1
9814 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9815 1
9816 1
9816 1
9816 1
9816 1
9816 1
9816 1
9816 1
9816 1
9816 1
9818 1
9818 1
9818 1
9818 1
9818 1
9818 1
9818 1
9818 1
9818 1
9885 1
9885 1
9885 1
9885 1
9885 1
9885 1
9885 1
9885 1
9885 1
9894 1
9894 1
9894 1
9894 1
9894 1
9894 1
9894 1
9894 1
9894 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9897 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9898 1
9908 1
9908 1
9908 1
9908 1
9908 1
9908 1
9908 1
9908 1
9908 1
9971 1
9971 1
9971 1
9971 1
9971 1
9971 1
9971 1
9971 1
9971 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9973 1
9976 1
9976 1
9976 1
9976 1
9976 1
9976 1
9976 1
9976 1
9976 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9977 1
9978 1
9978 1
9978 1
9978 1
9978 1
9978 1
9978 1
9978 1
9978 1
9979 1
9979 1
9979 1
9979 1
9979 1
9979 1
9979 1
9979 1
9979 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9980 1
9981 1
9981 1
9981 1
9981 1
9981 1
9981 1
9981 1
9981 1
9981 1
9983 1
9983 1
9983 1
