pt_graph cpue_kghour
15553 1.16
15553 0
15553 3.77
15553 2.18
15553 2
15553 2.96
15553 0
15553 0.05
15553 0.05
15558 1.16
15558 0
15558 3.77
15558 2.18
15558 2
15558 2.96
15558 0
15558 0.05
15558 0.05
15996 1.16
15996 0
15996 3.77
15996 2.18
15996 2
15996 2.96
15996 0
15996 0.05
15996 0.05
16048 1.16
16048 0
16048 3.77
16048 2.18
16048 2
16048 2.96
16048 0
16048 0.05
16048 0.05
16058 1.16
16058 0
16058 3.77
16058 2.18
16058 2
16058 2.96
16058 0
16058 0.05
16058 0.05
16088 1.16
16088 0
16088 3.77
16088 2.18
16088 2
16088 2.96
16088 0
16088 0.05
16088 0.05
16098 1.16
16098 0
16098 3.77
16098 2.18
16098 2
16098 2.96
16098 0
16098 0.05
16098 0.05
16101 1.16
16101 0
16101 3.77
16101 2.18
16101 2
16101 2.96
16101 0
16101 0.05
16101 0.05
16136 1.16
16136 0
16136 3.77
16136 2.18
16136 2
16136 2.96
16136 0
16136 0.05
16136 0.05
16193 1.16
16193 0
16193 3.77
16193 2.18
16193 2
16193 2.96
16193 0
16193 0.05
16193 0.05
16227 1.16
16227 0
16227 3.77
16227 2.18
16227 2
16227 2.96
16227 0
16227 0.05
16227 0.05
16240 1.16
16240 0
16240 3.77
16240 2.18
16240 2
16240 2.96
16240 0
16240 0.05
16240 0.05
16248 1.16
16248 0
16248 3.77
16248 2.18
16248 2
16248 2.96
16248 0
16248 0.05
16248 0.05
16275 1.16
16275 0
16275 3.77
16275 2.18
16275 2
16275 2.96
16275 0
16275 0.05
16275 0.05
16332 1.16
16332 0
16332 3.77
16332 2.18
16332 2
16332 2.96
16332 0
16332 0.05
16332 0.05
16416 1.16
16416 0
16416 3.77
16416 2.18
16416 2
16416 2.96
16416 0
16416 0.05
16416 0.05
16450 1.16
16450 0
16450 3.77
16450 2.18
16450 2
16450 2.96
16450 0
16450 0.05
16450 0.05
16451 1.16
16451 0
16451 3.77
16451 2.18
16451 2
16451 2.96
16451 0
16451 0.05
16451 0.05
16470 1.16
16470 0
16470 3.77
16470 2.18
16470 2
16470 2.96
16470 0
16470 0.05
16470 0.05
16498 1.16
16498 0
16498 3.77
16498 2.18
16498 2
16498 2.96
16498 0
16498 0.05
16498 0.05
16587 1.16
16587 0
16587 3.77
16587 2.18
16587 2
16587 2.96
16587 0
16587 0.05
16587 0.05
16638 1.16
16638 0
16638 3.77
16638 2.18
16638 2
16638 2.96
16638 0
16638 0.05
16638 0.05
16668 1.16
16668 0
16668 3.77
16668 2.18
16668 2
16668 2.96
16668 0
