pt_graph freq
15426 1
15683 1
15887 1
16059 1
16185 1
16201 1
16232 1
16247 1
16248 1
16294 1
16339 1
16340 1
16364 1
16367 1
16425 1
16426 1
16460 1
16467 1
16556 1
16623 1
16632 1
16718 1
16722 1
16766 1
16856 1
16966 1
17044 1
17130 1
17159 1
17173 1
17200 1
17214 1
17237 1
17241 1
17280 1
17286 1
17313 1
17357 1
17364 1
17365 1
17383 1
17429 1
17430 1
17453 1
17461 1
17490 1
17498 1
17522 1
17529 1
17538 1
17558 1
17563 1
17579 1
17648 1
17692 1
17696 1
17738 1
17755 1
17795 1
17800 1
17833 1
17843 1
17871 1
17934 1
17972 1
18026 1
18072 1
18114 1
18117 1
18121 1
18153 1
18154 1
18156 1
18266 1
18271 1
18296 1
18458 1
18488 1
18489 1
18669 1
18706 1
18707 1
18712 1
18745 1
18753 1
18755 1
18794 1
18879 1
18920 1
18964 1
18965 1
