pt_graph shape
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15553 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15558 1
15996 1
15996 1
15996 1
15996 1
15996 1
15996 1
15996 1
15996 1
15996 1
16048 1
16048 1
16048 1
16048 1
16048 1
16048 1
16048 1
16048 1
16048 1
16058 1
16058 1
16058 1
16058 1
16058 1
16058 1
16058 1
16058 1
16058 1
16088 1
16088 1
16088 1
16088 1
16088 1
16088 1
16088 1
16088 1
16088 1
16098 1
16098 1
16098 1
16098 1
16098 1
16098 1
16098 1
16098 1
16098 1
16101 1
16101 1
16101 1
16101 1
16101 1
16101 1
16101 1
16101 1
16101 1
16136 1
16136 1
16136 1
16136 1
16136 1
16136 1
16136 1
16136 1
16136 1
16193 1
16193 1
16193 1
16193 1
16193 1
16193 1
16193 1
16193 1
16193 1
16227 1
16227 1
16227 1
16227 1
16227 1
16227 1
16227 1
16227 1
16227 1
16240 1
16240 1
16240 1
16240 1
16240 1
16240 1
16240 1
16240 1
16240 1
16248 1
16248 1
16248 1
16248 1
16248 1
16248 1
16248 1
16248 1
16248 1
16275 1
16275 1
16275 1
16275 1
16275 1
16275 1
16275 1
16275 1
16275 1
16332 1
16332 1
16332 1
16332 1
16332 1
16332 1
16332 1
16332 1
16332 1
16416 1
16416 1
16416 1
16416 1
16416 1
16416 1
16416 1
16416 1
16416 1
16450 1
16450 1
16450 1
16450 1
16450 1
16450 1
16450 1
16450 1
16450 1
16451 1
16451 1
16451 1
16451 1
16451 1
16451 1
16451 1
16451 1
16451 1
16470 1
16470 1
16470 1
16470 1
16470 1
16470 1
16470 1
16470 1
16470 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16498 1
16587 1
16587 1
16587 1
16587 1
16587 1
16587 1
16587 1
16587 1
16587 1
16638 1
16638 1
16638 1
16638 1
16638 1
16638 1
16638 1
16638 1
16638 1
16668 1
16668 1
16668 1
16668 1
16668 1
16668 1
16668 1
16668 1
16668 1
16684 1
16684 1
16684 1
16684 1
16684 1
16684 1
16684 1
16684 1
16684 1
16688 1
16688 1
16688 1
16688 1
16688 1
16688 1
16688 1
16688 1
16688 1
16952 1
16952 1
16952 1
16952 1
16952 1
16952 1
16952 1
16952 1
16952 1
16953 1
16953 1
16953 1
16953 1
16953 1
16953 1
16953 1
16953 1
16953 1
16990 1
16990 1
16990 1
16990 1
16990 1
16990 1
16990 1
16990 1
16990 1
17006 1
17006 1
17006 1
17006 1
17006 1
17006 1
17006 1
17006 1
17006 1
17031 1
17031 1
17031 1
17031 1
17031 1
17031 1
17031 1
17031 1
17031 1
17036 1
17036 1
17036 1
17036 1
17036 1
17036 1
17036 1
17036 1
17036 1
17039 1
17039 1
17039 1
17039 1
17039 1
17039 1
17039 1
17039 1
17039 1
17047 1
17047 1
17047 1
17047 1
17047 1
17047 1
17047 1
17047 1
17047 1
17215 1
17215 1
17215 1
17215 1
17215 1
17215 1
17215 1
17215 1
17215 1
17248 1
17248 1
17248 1
17248 1
17248 1
17248 1
17248 1
17248 1
17248 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17320 1
17352 1
17352 1
17352 1
17352 1
17352 1
17352 1
17352 1
17352 1
17352 1
17415 1
17415 1
17415 1
17415 1
17415 1
17415 1
17415 1
17415 1
17415 1
17428 1
17428 1
17428 1
17428 1
17428 1
17428 1
17428 1
17428 1
17428 1
17493 1
17493 1
17493 1
17493 1
17493 1
17493 1
17493 1
17493 1
17493 1
17621 1
17621 1
17621 1
17621 1
17621 1
17621 1
17621 1
17621 1
17621 1
17738 1
17738 1
17738 1
17738 1
17738 1
17738 1
17738 1
17738 1
17738 1
17750 1
17750 1
17750 1
17750 1
17750 1
17750 1
17750 1
17750 1
17750 1
17833 1
17833 1
17833 1
17833 1
17833 1
17833 1
17833 1
17833 1
17833 1
17840 1
17840 1
17840 1
17840 1
17840 1
17840 1
17840 1
17840 1
17840 1
17870 1
17870 1
17870 1
17870 1
17870 1
17870 1
17870 1
17870 1
17870 1
17976 1
17976 1
17976 1
17976 1
17976 1
17976 1
17976 1
17976 1
17976 1
18014 1
18014 1
18014 1
18014 1
18014 1
18014 1
18014 1
