pt_graph met
15425 2
15491 2
15554 2
15557 2
15558 2
15619 2
15620 2
15621 2
15622 2
15684 2
15685 2
15686 2
15754 2
15818 2
15819 2
15820 2
15822 2
15880 2
15886 2
15945 2
15947 2
15948 2
15950 2
15951 2
15998 2
16003 2
16005 2
16006 2
16007 2
16034 2
16049 2
16056 2
16057 2
16058 2
16059 2
16104 2
16105 2
16106 2
16136 2
16147 2
16150 2
16152 2
16153 2
16154 2
16155 2
16199 2
16200 2
16201 2
16202 2
16224 2
16244 2
16245 2
16247 2
16248 2
16290 2
16291 2
16294 2
16339 2
16360 2
16374 2
16379 2
16404 2
16426 2
16469 2
16496 2
16501 2
16509 2
16510 2
16514 2
16552 2
16556 2
16558 2
16600 2
16601 2
16642 2
16645 2
16676 2
16681 2
16714 2
16715 2
16717 2
16734 2
16781 2
16782 2
16815 2
16819 2
16824 2
16859 2
16870 2
16872 2
16873 2
16879 2
16903 2
16913 2
16919 2
16952 2
16964 2
16992 2
17000 2
17002 2
17003 2
17005 2
17034 2
17046 2
17075 2
17088 2
17114 2
17124 2
17133 2
17163 2
17166 2
17205 2
17217 2
17245 2
17246 2
17282 2
17285 2
17287 2
17289 2
17319 2
17320 2
17330 2
17354 2
17356 2
17361 2
17386 2
17388 2
17389 2
17392 2
17452 2
17453 2
17454 2
17456 2
17457 2
17462 2
17486 2
17487 2
17488 2
17489 2
17490 2
17498 2
17499 2
17520 2
17523 2
17525 2
17526 2
17528 2
17529 2
17531 2
17533 2
17536 2
17540 2
17562 2
17563 2
17565 2
17566 2
17567 2
17568 2
17570 2
17571 2
17573 2
17579 2
17603 2
17604 2
17606 2
17607 2
17608 2
17609 2
17610 2
17611 2
17612 2
17613 2
17644 2
17648 2
17651 2
17652 2
17655 2
17662 2
17666 2
17696 2
17697 2
17698 2
17700 2
17702 2
17703 2
17707 2
17708 2
17709 2
17743 2
17744 2
17745 2
17754 2
17755 2
17788 2
17791 2
17794 2
17795 2
17800 2
17835 2
17836 2
17837 2
17838 2
17840 2
17842 2
17844 2
17845 2
17846 2
17847 2
17874 2
17880 2
17882 2
17884 2
17886 2
17890 2
17892 2
17893 2
17924 2
17926 2
17929 2
17930 2
17933 2
17937 2
17939 2
17973 2
17974 2
17976 2
17977 2
17978 2
17980 2
17981 2
17983 2
17987 2
18014 2
18020 2
18021 2
18022 2
18023 2
18027 2
18030 2
18031 2
18032 2
18033 2
18034 2
18057 2
18061 2
18067 2
18069 2
18070 2
18072 2
18074 2
18075 2
18076 2
18079 2
18081 2
18082 2
18108 2
18114 2
18115 2
18116 2
18118 2
18119 2
18121 2
18122 2
18125 2
18126 2
18127 2
18129 2
18164 2
18166 2
18169 2
18175 2
18205 2
18210 2
18212 2
18213 2
18214 2
18217 2
18219 2
18220 2
18221 2
18223 2
18225 2
18251 2
18254 2
18259 2
18260 2
18261 2
18262 2
18263 2
18264 2
18266 2
18268 2
18269 2
18270 2
18271 2
18306 2
18307 2
18308 2
18309 2
18310 2
18311 2
18313 2
18314 2
18315 2
18316 2
18349 2
18350 2
18351 2
18352 2
18354 2
18355 2
18356 2
18357 2
18388 2
18389 2
18390 2
18392 2
18420 2
18421 2
18422 2
18423 2
18424 2
18426 2
18452 2
18453 2
18454 2
18457 2
18458 2
18459 2
18461 2
18487 2
18491 2
18492 2
18493 2
18494 2
18522 2
18523 2
18524 2
18581 2
18608 2
18636 2
18637 2
18670 2
18700 2
18701 2
18702 2
18703 2
18704 2
18705 2
18706 2
18707 2
18710 2
18711 2
18745 2
18747 2
18748 2
18749 2
18750 2
18751 2
18752 2
18753 2
18754 2
18755 2
18788 2
18789 2
18791 2
18792 2
18793 2
18794 2
18795 2
18796 2
18797 2
18798 2
18799 2
18836 2
18837 2
18838 2
18840 2
18841 2
18843 2
18844 2
18846 2
18879 2
18883 2
18884 2
18886 2
18922 2
18924 2
18926 2
18964 2
18965 2
19003 2
