pt_graph freq
8148 1
8211 1
8212 1
8215 1
8216 1
8221 1
8224 1
8239 1
8273 1
8275 1
8276 1
8278 1
8279 1
8280 1
8281 1
8282 1
8283 1
8298 1
8332 1
8333 1
8334 1
8335 1
8336 1
8337 1
8338 1
8339 1
8340 1
8341 1
8342 1
8387 1
8389 1
8390 1
8391 1
8392 1
8393 1
8394 1
8395 1
8396 1
8397 1
8398 1
8440 1
8442 1
8443 1
8444 1
8445 1
8446 1
8447 1
8448 1
8449 1
8450 1
8451 1
8495 1
8496 1
8497 1
8498 1
8499 1
8500 1
8501 1
8502 1
8503 1
8504 1
8521 1
8547 1
8550 1
8551 1
8552 1
8553 1
8554 1
8570 1
8573 1
8574 1
8596 1
8597 1
8600 1
8601 1
8602 1
8603 1
8622 1
8624 1
8649 1
8650 1
8669 1
8670 1
8708 1
8709 1
8711 1
8712 1
8713 1
8714 1
8755 1
8756 1
8757 1
8758 1
8784 1
8799 1
8800 1
8801 1
8802 1
8829 1
8841 1
8844 1
8845 1
8846 1
8848 1
8869 1
8873 1
8884 1
8886 1
8887 1
8888 1
8889 1
8890 1
8891 1
8892 1
8893 1
8916 1
8917 1
8928 1
8931 1
8932 1
8933 1
8934 1
8935 1
8956 1
8957 1
8966 1
8969 1
8970 1
8971 1
8972 1
8973 1
8974 1
8997 1
8998 1
8999 1
9010 1
9011 1
9012 1
9013 1
9036 1
9037 1
9038 1
9039 1
9044 1
9074 1
9075 1
9076 1
9077 1
9078 1
9080 1
9082 1
9092 1
9115 1
9116 1
9117 1
9118 1
9119 1
9120 1
9130 1
9133 1
9157 1
9158 1
9159 1
9160 1
9161 1
9176 1
9196 1
9198 1
9200 1
9201 1
9202 1
9203 1
9216 1
9242 1
9243 1
9244 1
9245 1
9247 1
9257 1
9259 1
9261 1
9287 1
9288 1
9290 1
9291 1
9292 1
9294 1
9296 1
9305 1
9338 1
9341 1
9342 1
9343 1
9344 1
9349 1
9357 1
9359 1
9362 1
9363 1
9364 1
9394 1
9395 1
9396 1
9397 1
9398 1
9402 1
9403 1
9414 1
9416 1
9420 1
9450 1
9451 1
9452 1
9455 1
9456 1
9474 1
9476 1
9477 1
9478 1
9479 1
9480 1
9507 1
9510 1
9511 1
9512 1
9513 1
9515 1
9516 1
9537 1
9538 1
9539 1
9540 1
9541 1
9542 1
9543 1
9581 1
9582 1
9583 1
9585 1
9603 1
9605 1
9607 1
9608 1
9610 1
9611 1
9612 1
9613 1
9654 1
9656 1
9657 1
9658 1
9659 1
9660 1
9666 1
9677 1
9680 1
9681 1
9683 1
9685 1
9686 1
9687 1
9688 1
9689 1
9732 1
9733 1
9734 1
9735 1
9736 1
9738 1
9739 1
9742 1
9744 1
9758 1
9759 1
9762 1
9763 1
9764 1
9765 1
9766 1
9812 1
9813 1
9814 1
9815 1
9816 1
9817 1
9818 1
9819 1
9820 1
9822 1
9838 1
9840 1
9841 1
9843 1
9844 1
9845 1
9891 1
9892 1
9893 1
9894 1
9895 1
9896 1
9897 1
9898 1
9900 1
9901 1
9920 1
9922 1
9925 1
9974 1
9975 1
9976 1
9977 1
9978 1
9979 1
9980 1
9981 1
9982 1
9983 1
9984 1
10001 1
10002 1
10004 1
10007 1
10057 1
10058 1
10059 1
10060 1
10061 1
10062 1
10063 1
10064 1
10065 1
10085 1
10087 1
10088 1
10139 1
10140 1
10141 1
10142 1
10143 1
10144 1
10145 1
10146 1
10147 1
10148 1
10223 1
10224 1
10225 1
10226 1
10227 1
10228 1
10229 1
10231 1
10232 1
10233 1
10313 1
10314 1
10317 1
10320 1
10400 1
10402 1
10404 1
10497 1
10498 1
10503 1
10595 1
10596 1
10602 1
