pt_graph cpue_kghour
8090 1.24
8090 0
8090 3.86
8090 2.63
8090 3.56
8090 3.22
8090 0
8090 0.05
8090 0
8150 1.24
8150 0
8150 3.86
8150 2.63
8150 3.56
8150 3.22
8150 0
8150 0.05
8150 0
8154 1.24
8154 0
8154 3.86
8154 2.63
8154 3.56
8154 3.22
8154 0
8154 0.05
8154 0
8159 1.24
8159 0
8159 3.86
8159 2.63
8159 3.56
8159 3.22
8159 0
8159 0.05
8159 0
8215 1.24
8215 0
8215 3.86
8215 2.63
8215 3.56
8215 3.22
8215 0
8215 0.05
8215 0
8216 1.24
8216 0
8216 3.86
8216 2.63
8216 3.56
8216 3.22
8216 0
8216 0.05
8216 0
8221 1.24
8221 0
8221 3.86
8221 2.63
8221 3.56
8221 3.22
8221 0
8221 0.05
8221 0
8224 1.24
8224 0
8224 3.86
8224 2.63
8224 3.56
8224 3.22
8224 0
8224 0.05
8224 0
8273 1.24
8273 0
8273 3.86
8273 2.63
8273 3.56
8273 3.22
8273 0
8273 0.05
8273 0
8276 1.24
8276 0
8276 3.86
8276 2.63
8276 3.56
8276 3.22
8276 0
8276 0.05
8276 0
8278 1.24
8278 0
8278 3.86
8278 2.63
8278 3.56
8278 3.22
8278 0
8278 0.05
8278 0
8279 1.24
8279 0
8279 3.86
8279 2.63
8279 3.56
8279 3.22
8279 0
8279 0.05
8279 0
8281 1.24
8281 0
8281 3.86
8281 2.63
8281 3.56
8281 3.22
8281 0
8281 0.05
8281 0
8333 1.24
8333 0
8333 3.86
8333 2.63
8333 3.56
8333 3.22
8333 0
8333 0.05
8333 0
8387 1.24
8387 0
8387 3.86
8387 2.63
8387 3.56
8387 3.22
8387 0
8387 0.05
8387 0
8389 1.24
8389 0
8389 3.86
8389 2.63
8389 3.56
8389 3.22
8389 0
8389 0.05
8389 0
8390 1.24
8390 0
8390 3.86
8390 2.63
8390 3.56
8390 3.22
8390 0
8390 0.05
8390 0
8391 1.24
8391 0
8391 3.86
8391 2.63
8391 3.56
8391 3.22
8391 0
8391 0.05
8391 0
8392 1.24
8392 0
8392 3.86
8392 2.63
8392 3.56
8392 3.22
8392 0
8392 0.05
8392 0
8393 1.24
8393 0
8393 3.86
8393 2.63
8393 3.56
8393 3.22
8393 0
8393 0.05
8393 0
8397 1.24
8397 0
8397 3.86
8397 2.63
8397 3.56
8397 3.22
8397 0
8397 0.05
8397 0
8398 1.24
8398 0
8398 3.86
8398 2.63
8398 3.56
8398 3.22
8398 0
8398 0.05
8398 0
8414 1.24
8414 0
8414 3.86
8414 2.63
8414 3.56
8414 3.22
8414 0
8414 0.05
8414 0
8442 1.24
8442 0
8442 3.86
8442 2.63
8442 3.56
8442 3.22
8442 0
8442 0.05
8442 0
8443 1.24
8443 0
8443 3.86
8443 2.63
8443 3.56
8443 3.22
8443 0
8443 0.05
8443 0
8444 1.24
8444 0
8444 3.86
8444 2.63
8444 3.56
8444 3.22
8444 0
8444 0.05
8444 0
8445 1.24
8445 0
8445 3.86
8445 2.63
8445 3.56
8445 3.22
8445 0
8445 0.05
8445 0
8446 1.24
8446 0
8446 3.86
8446 2.63
8446 3.56
8446 3.22
8446 0
8446 0.05
8446 0
8447 1.24
8447 0
8447 3.86
8447 2.63
8447 3.56
8447 3.22
8447 0
8447 0.05
8447 0
8448 1.24
8448 0
8448 3.86
8448 2.63
8448 3.56
8448 3.22
8448 0
8448 0.05
8448 0
8449 1.24
8449 0
8449 3.86
8449 2.63
8449 3.56
8449 3.22
8449 0
8449 0.05
8449 0
8450 1.24
8450 0
8450 3.86
8450 2.63
8450 3.56
8450 3.22
8450 0
8450 0.05
8450 0
8495 1.24
8495 0
8495 3.86
8495 2.63
8495 3.56
8495 3.22
8495 0
8495 0.05
8495 0
8496 1.24
8496 0
8496 3.86
8496 2.63
8496 3.56
8496 3.22
8496 0
8496 0.05
8496 0
8497 1.24
8497 0
8497 3.86
8497 2.63
8497 3.56
8497 3.22
8497 0
8497 0.05
8497 0
8498 1.24
8498 0
8498 3.86
8498 2.63
8498 3.56
8498 3.22
8498 0
8498 0.05
8498 0
8499 1.24
8499 0
8499 3.86
8499 2.63
8499 3.56
8499 3.22
8499 0
8499 0.05
8499 0
8500 1.24
8500 0
8500 3.86
8500 2.63
8500 3.56
8500 3.22
8500 0
8500 0.05
8500 0
8501 1.24
8501 0
8501 3.86
8501 2.63
8501 3.56
8501 3.22
8501 0
8501 0.05
8501 0
8502 1.24
8502 0
8502 3.86
8502 2.63
8502 3.56
8502 3.22
8502 0
8502 0.05
8502 0
8503 1.24
8503 0
8503 3.86
8503 2.63
8503 3.56
8503 3.22
8503 0
8503 0.05
8503 0
8550 1.24
8550 0
8550 3.86
8550 2.63
8550 3.56
8550 3.22
8550 0
8550 0.05
8550 0
8551 1.24
8551 0
8551 3.86
8551 2.63
8551 3.56
8551 3.22
8551 0
8551 0.05
8551 0
8552 1.24
8552 0
8552 3.86
8552 2.63
8552 3.56
8552 3.22
8552 0
8552 0.05
8552 0
8553 1.24
8553 0
8553 3.86
8553 2.63
8553 3.56
8553 3.22
8553 0
8553 0.05
8553 0
8554 1.24
8554 0
8554 3.86
8554 2.63
8554 3.56
8554 3.22
8554 0
8554 0.05
8554 0
8557 1.24
8557 0
8557 3.86
8557 2.63
8557 3.56
8557 3.22
8557 0
8557 0.05
8557 0
8573 1.24
8573 0
8573 3.86
8573 2.63
8573 3.56
8573 3.22
8573 0
8573 0.05
8573 0
8574 1.24
8574 0
8574 3.86
8574 2.63
8574 3.56
8574 3.22
8574 0
8574 0.05
8574 0
8597 1.24
8597 0
8597 3.86
8597 2.63
8597 3.56
8597 3.22
8597 0
8597 0.05
8597 0
8600 1.24
8600 0
8600 3.86
8600 2.63
8600 3.56
8600 3.22
8600 0
8600 0.05
8600 0
8601 1.24
8601 0
8601 3.86
8601 2.63
8601 3.56
8601 3.22
8601 0
8601 0.05
8601 0
8602 1.24
8602 0
8602 3.86
8602 2.63
8602 3.56
8602 3.22
8602 0
8602 0.05
8602 0
8603 1.24
8603 0
8603 3.86
8603 2.63
8603 3.56
8603 3.22
8603 0
8603 0.05
8603 0
8649 1.24
8649 0
8649 3.86
8649 2.63
8649 3.56
8649 3.22
8649 0
8649 0.05
8649 0
8650 1.24
8650 0
8650 3.86
8650 2.63
8650 3.56
8650 3.22
8650 0
8650 0.05
8650 0
8666 1.24
8666 0
8666 3.86
8666 2.63
8666 3.56
8666 3.22
8666 0
8666 0.05
8666 0
8670 1.24
8670 0
8670 3.86
8670 2.63
8670 3.56
8670 3.22
8670 0
8670 0.05
8670 0
8704 1.24
8704 0
8704 3.86
8704 2.63
8704 3.56
8704 3.22
8704 0
8704 0.05
8704 0
8713 1.24
8713 0
8713 3.86
8713 2.63
8713 3.56
8713 3.22
8713 0
8713 0.05
8713 0
8714 1.24
8714 0
8714 3.86
8714 2.63
8714 3.56
8714 3.22
8714 0
8714 0.05
8714 0
8740 1.24
8740 0
8740 3.86
8740 2.63
8740 3.56
8740 3.22
8740 0
8740 0.05
8740 0
8754 1.24
8754 0
8754 3.86
8754 2.63
8754 3.56
8754 3.22
8754 0
8754 0.05
8754 0
8757 1.24
8757 0
8757 3.86
8757 2.63
8757 3.56
8757 3.22
8757 0
8757 0.05
8757 0
8795 1.24
8795 0
8795 3.86
8795 2.63
8795 3.56
8795 3.22
8795 0
8795 0.05
8795 0
8798 1.24
8798 0
8798 3.86
8798 2.63
8798 3.56
8798 3.22
8798 0
8798 0.05
8798 0
8800 1.24
8800 0
8800 3.86
8800 2.63
8800 3.56
8800 3.22
8800 0
8800 0.05
8800 0
8802 1.24
8802 0
8802 3.86
8802 2.63
8802 3.56
8802 3.22
8802 0
8802 0.05
8802 0
8829 1.24
8829 0
8829 3.86
8829 2.63
8829 3.56
8829 3.22
8829 0
8829 0.05
8829 0
8830 1.24
8830 0
8830 3.86
8830 2.63
8830 3.56
8830 3.22
8830 0
8830 0.05
8830 0
8841 1.24
8841 0
8841 3.86
8841 2.63
8841 3.56
8841 3.22
8841 0
8841 0.05
8841 0
8844 1.24
8844 0
8844 3.86
8844 2.63
8844 3.56
8844 3.22
8844 0
8844 0.05
8844 0
8870 1.24
8870 0
8870 3.86
8870 2.63
8870 3.56
8870 3.22
8870 0
8870 0.05
8870 0
8873 1.24
8873 0
8873 3.86
8873 2.63
8873 3.56
8873 3.22
8873 0
8873 0.05
8873 0
8874 1.24
8874 0
8874 3.86
8874 2.63
8874 3.56
8874 3.22
8874 0
8874 0.05
8874 0
8875 1.24
8875 0
8875 3.86
8875 2.63
8875 3.56
8875 3.22
8875 0
8875 0.05
8875 0
8876 1.24
8876 0
8876 3.86
8876 2.63
8876 3.56
8876 3.22
8876 0
8876 0.05
8876 0
8887 1.24
8887 0
8887 3.86
8887 2.63
8887 3.56
8887 3.22
8887 0
8887 0.05
8887 0
8888 1.24
8888 0
8888 3.86
8888 2.63
8888 3.56
8888 3.22
8888 0
8888 0.05
8888 0
8890 1.24
8890 0
8890 3.86
8890 2.63
8890 3.56
8890 3.22
8890 0
8890 0.05
8890 0
8891 1.24
8891 0
8891 3.86
8891 2.63
8891 3.56
8891 3.22
8891 0
8891 0.05
8891 0
8893 1.24
8893 0
8893 3.86
8893 2.63
8893 3.56
8893 3.22
8893 0
8893 0.05
8893 0
8916 1.24
8916 0
8916 3.86
8916 2.63
8916 3.56
8916 3.22
8916 0
8916 0.05
8916 0
8927 1.24
8927 0
8927 3.86
8927 2.63
8927 3.56
8927 3.22
8927 0
8927 0.05
8927 0
8931 1.24
8931 0
8931 3.86
8931 2.63
8931 3.56
8931 3.22
8931 0
8931 0.05
8931 0
8932 1.24
8932 0
8932 3.86
8932 2.63
8932 3.56
8932 3.22
8932 0
8932 0.05
8932 0
8934 1.24
8934 0
8934 3.86
8934 2.63
8934 3.56
8934 3.22
8934 0
8934 0.05
8934 0
8935 1.24
8935 0
8935 3.86
8935 2.63
8935 3.56
8935 3.22
8935 0
8935 0.05
8935 0
8956 1.24
8956 0
8956 3.86
8956 2.63
8956 3.56
8956 3.22
8956 0
8956 0.05
8956 0
8957 1.24
8957 0
8957 3.86
8957 2.63
8957 3.56
8957 3.22
8957 0
8957 0.05
8957 0
8962 1.24
8962 0
8962 3.86
8962 2.63
8962 3.56
8962 3.22
8962 0
8962 0.05
8962 0
8970 1.24
8970 0
8970 3.86
8970 2.63
8970 3.56
8970 3.22
8970 0
8970 0.05
8970 0
8971 1.24
8971 0
8971 3.86
8971 2.63
8971 3.56
8971 3.22
8971 0
8971 0.05
8971 0
8972 1.24
8972 0
8972 3.86
8972 2.63
8972 3.56
8972 3.22
8972 0
8972 0.05
8972 0
8973 1.24
8973 0
8973 3.86
8973 2.63
8973 3.56
8973 3.22
8973 0
8973 0.05
8973 0
8995 1.24
8995 0
8995 3.86
8995 2.63
8995 3.56
8995 3.22
8995 0
8995 0.05
8995 0
8997 1.24
8997 0
8997 3.86
8997 2.63
8997 3.56
8997 3.22
8997 0
8997 0.05
8997 0
8998 1.24
8998 0
8998 3.86
8998 2.63
8998 3.56
8998 3.22
8998 0
8998 0.05
8998 0
8999 1.24
8999 0
8999 3.86
8999 2.63
8999 3.56
8999 3.22
8999 0
8999 0.05
8999 0
9002 1.24
9002 0
9002 3.86
9002 2.63
9002 3.56
9002 3.22
9002 0
9002 0.05
9002 0
9013 1.24
9013 0
9013 3.86
9013 2.63
9013 3.56
9013 3.22
9013 0
9013 0.05
9013 0
9034 1.24
9034 0
9034 3.86
9034 2.63
9034 3.56
9034 3.22
9034 0
9034 0.05
9034 0
9036 1.24
9036 0
9036 3.86
9036 2.63
9036 3.56
9036 3.22
9036 0
9036 0.05
9036 0
9037 1.24
9037 0
9037 3.86
9037 2.63
9037 3.56
9037 3.22
9037 0
9037 0.05
9037 0
9038 1.24
9038 0
9038 3.86
9038 2.63
9038 3.56
9038 3.22
9038 0
9038 0.05
9038 0
9039 1.24
9039 0
9039 3.86
9039 2.63
9039 3.56
9039 3.22
9039 0
9039 0.05
9039 0
9051 1.24
9051 0
9051 3.86
9051 2.63
9051 3.56
9051 3.22
9051 0
9051 0.05
9051 0
9070 1.24
9070 0
9070 3.86
9070 2.63
9070 3.56
9070 3.22
9070 0
9070 0.05
9070 0
9074 1.24
9074 0
9074 3.86
9074 2.63
9074 3.56
9074 3.22
9074 0
9074 0.05
9074 0
9075 1.24
9075 0
9075 3.86
9075 2.63
9075 3.56
9075 3.22
9075 0
9075 0.05
9075 0
9076 1.24
9076 0
9076 3.86
9076 2.63
9076 3.56
9076 3.22
9076 0
9076 0.05
9076 0
9077 1.24
9077 0
9077 3.86
9077 2.63
9077 3.56
9077 3.22
9077 0
9077 0.05
9077 0
9078 1.24
9078 0
9078 3.86
9078 2.63
9078 3.56
9078 3.22
9078 0
9078 0.05
9078 0
9079 1.24
9079 0
9079 3.86
9079 2.63
9079 3.56
9079 3.22
9079 0
9079 0.05
9079 0
9081 1.24
9081 0
9081 3.86
9081 2.63
9081 3.56
9081 3.22
9081 0
9081 0.05
9081 0
9083 1.24
9083 0
9083 3.86
9083 2.63
9083 3.56
9083 3.22
9083 0
9083 0.05
9083 0
9087 1.24
9087 0
9087 3.86
9087 2.63
9087 3.56
9087 3.22
9087 0
9087 0.05
9087 0
9116 1.24
9116 0
9116 3.86
9116 2.63
9116 3.56
9116 3.22
9116 0
9116 0.05
9116 0
9117 1.24
9117 0
9117 3.86
9117 2.63
9117 3.56
9117 3.22
9117 0
9117 0.05
9117 0
9122 1.24
9122 0
9122 3.86
9122 2.63
9122 3.56
9122 3.22
9122 0
9122 0.05
9122 0
9127 1.24
9127 0
9127 3.86
9127 2.63
9127 3.56
9127 3.22
9127 0
9127 0.05
9127 0
9133 1.24
9133 0
9133 3.86
9133 2.63
9133 3.56
9133 3.22
9133 0
9133 0.05
9133 0
9157 1.24
9157 0
9157 3.86
9157 2.63
9157 3.56
9157 3.22
9157 0
9157 0.05
9157 0
9158 1.24
9158 0
9158 3.86
9158 2.63
9158 3.56
9158 3.22
9158 0
9158 0.05
9158 0
9161 1.24
9161 0
9161 3.86
9161 2.63
9161 3.56
9161 3.22
9161 0
9161 0.05
9161 0
9198 1.24
9198 0
9198 3.86
9198 2.63
9198 3.56
9198 3.22
9198 0
9198 0.05
9198 0
9200 1.24
9200 0
9200 3.86
9200 2.63
9200 3.56
9200 3.22
9200 0
9200 0.05
9200 0
9203 1.24
9203 0
9203 3.86
9203 2.63
9203 3.56
9203 3.22
9203 0
9203 0.05
9203 0
9204 1.24
9204 0
9204 3.86
9204 2.63
9204 3.56
9204 3.22
9204 0
9204 0.05
9204 0
9216 1.24
9216 0
9216 3.86
9216 2.63
9216 3.56
9216 3.22
9216 0
9216 0.05
9216 0
9218 1.24
9218 0
9218 3.86
9218 2.63
9218 3.56
9218 3.22
9218 0
9218 0.05
9218 0
9239 1.24
9239 0
9239 3.86
9239 2.63
9239 3.56
9239 3.22
9239 0
9239 0.05
9239 0
9240 1.24
9240 0
9240 3.86
9240 2.63
9240 3.56
9240 3.22
9240 0
9240 0.05
9240 0
9242 1.24
9242 0
9242 3.86
9242 2.63
9242 3.56
9242 3.22
9242 0
9242 0.05
9242 0
9246 1.24
9246 0
9246 3.86
9246 2.63
9246 3.56
9246 3.22
9246 0
9246 0.05
9246 0
9257 1.24
9257 0
9257 3.86
9257 2.63
9257 3.56
9257 3.22
9257 0
9257 0.05
9257 0
9263 1.24
9263 0
9263 3.86
9263 2.63
9263 3.56
9263 3.22
9263 0
9263 0.05
9263 0
9286 1.24
9286 0
9286 3.86
9286 2.63
9286 3.56
9286 3.22
9286 0
9286 0.05
9286 0
9287 1.24
9287 0
9287 3.86
9287 2.63
9287 3.56
9287 3.22
9287 0
9287 0.05
9287 0
9288 1.24
9288 0
9288 3.86
9288 2.63
9288 3.56
9288 3.22
9288 0
9288 0.05
9288 0
9290 1.24
9290 0
9290 3.86
9290 2.63
9290 3.56
9290 3.22
9290 0
9290 0.05
9290 0
9291 1.24
9291 0
9291 3.86
9291 2.63
9291 3.56
9291 3.22
9291 0
9291 0.05
9291 0
9294 1.24
9294 0
9294 3.86
9294 2.63
9294 3.56
9294 3.22
9294 0
9294 0.05
9294 0
9295 1.24
9295 0
9295 3.86
9295 2.63
9295 3.56
9295 3.22
9295 0
9295 0.05
9295 0
9305 1.24
9305 0
9305 3.86
9305 2.63
9305 3.56
9305 3.22
9305 0
9305 0.05
9305 0
9334 1.24
9334 0
9334 3.86
9334 2.63
9334 3.56
9334 3.22
9334 0
9334 0.05
9334 0
9344 1.24
9344 0
9344 3.86
9344 2.63
9344 3.56
9344 3.22
9344 0
9344 0.05
9344 0
9345 1.24
9345 0
9345 3.86
9345 2.63
9345 3.56
9345 3.22
9345 0
9345 0.05
9345 0
9357 1.24
9357 0
9357 3.86
9357 2.63
9357 3.56
9357 3.22
9357 0
9357 0.05
9357 0
9361 1.24
9361 0
9361 3.86
9361 2.63
9361 3.56
9361 3.22
9361 0
9361 0.05
9361 0
9392 1.24
9392 0
9392 3.86
9392 2.63
9392 3.56
9392 3.22
9392 0
9392 0.05
9392 0
9393 1.24
9393 0
9393 3.86
9393 2.63
9393 3.56
9393 3.22
9393 0
9393 0.05
9393 0
9394 1.24
9394 0
9394 3.86
9394 2.63
9394 3.56
9394 3.22
9394 0
9394 0.05
9394 0
9395 1.24
9395 0
9395 3.86
9395 2.63
9395 3.56
9395 3.22
9395 0
9395 0.05
9395 0
9397 1.24
9397 0
9397 3.86
9397 2.63
9397 3.56
9397 3.22
9397 0
9397 0.05
9397 0
9398 1.24
9398 0
9398 3.86
9398 2.63
9398 3.56
9398 3.22
9398 0
9398 0.05
9398 0
9399 1.24
9399 0
9399 3.86
9399 2.63
9399 3.56
9399 3.22
9399 0
9399 0.05
9399 0
9411 1.24
9411 0
9411 3.86
9411 2.63
9411 3.56
9411 3.22
9411 0
9411 0.05
9411 0
9413 1.24
9413 0
9413 3.86
9413 2.63
9413 3.56
9413 3.22
9413 0
9413 0.05
9413 0
9420 1.24
9420 0
9420 3.86
9420 2.63
9420 3.56
9420 3.22
9420 0
9420 0.05
9420 0
9451 1.24
9451 0
9451 3.86
9451 2.63
9451 3.56
9451 3.22
9451 0
9451 0.05
9451 0
9453 1.24
9453 0
9453 3.86
9453 2.63
9453 3.56
9453 3.22
9453 0
9453 0.05
9453 0
9455 1.24
9455 0
9455 3.86
9455 2.63
9455 3.56
9455 3.22
9455 0
9455 0.05
9455 0
9457 1.24
9457 0
9457 3.86
9457 2.63
9457 3.56
9457 3.22
9457 0
9457 0.05
9457 0
9459 1.24
9459 0
9459 3.86
9459 2.63
9459 3.56
9459 3.22
9459 0
9459 0.05
9459 0
9476 1.24
9476 0
9476 3.86
9476 2.63
9476 3.56
9476 3.22
9476 0
9476 0.05
9476 0
9477 1.24
9477 0
9477 3.86
9477 2.63
9477 3.56
9477 3.22
9477 0
9477 0.05
9477 0
9480 1.24
9480 0
9480 3.86
9480 2.63
9480 3.56
9480 3.22
9480 0
9480 0.05
9480 0
9513 1.24
9513 0
9513 3.86
9513 2.63
9513 3.56
9513 3.22
9513 0
9513 0.05
9513 0
9514 1.24
9514 0
9514 3.86
9514 2.63
9514 3.56
9514 3.22
9514 0
9514 0.05
9514 0
9520 1.24
9520 0
9520 3.86
9520 2.63
9520 3.56
9520 3.22
9520 0
9520 0.05
9520 0
9536 1.24
9536 0
9536 3.86
9536 2.63
9536 3.56
9536 3.22
9536 0
9536 0.05
9536 0
9538 1.24
9538 0
9538 3.86
9538 2.63
9538 3.56
9538 3.22
9538 0
9538 0.05
9538 0
9543 1.24
9543 0
9543 3.86
9543 2.63
9543 3.56
9543 3.22
9543 0
9543 0.05
9543 0
9574 1.24
9574 0
9574 3.86
9574 2.63
9574 3.56
9574 3.22
9574 0
9574 0.05
9574 0
9581 1.24
9581 0
9581 3.86
9581 2.63
9581 3.56
9581 3.22
9581 0
9581 0.05
9581 0
9583 1.24
9583 0
9583 3.86
9583 2.63
9583 3.56
9583 3.22
9583 0
9583 0.05
9583 0
9585 1.24
9585 0
9585 3.86
9585 2.63
9585 3.56
9585 3.22
9585 0
9585 0.05
9585 0
9604 1.24
9604 0
9604 3.86
9604 2.63
9604 3.56
9604 3.22
9604 0
