pt_graph met
8090 0
8150 0
8154 0
8159 0
8215 0
8216 0
8221 0
8224 0
8273 0
8276 0
8278 0
8279 0
8281 0
8333 0
8387 0
8389 0
8390 0
8391 0
8392 0
8393 0
8397 0
8398 0
8414 0
8442 0
8443 0
8444 0
8445 0
8446 0
8447 0
8448 0
8449 0
8450 0
8495 0
8496 0
8497 0
8498 0
8499 0
8500 0
8501 0
8502 0
8503 0
8550 0
8551 0
8552 0
8553 0
8554 0
8557 0
8573 0
8574 0
8597 0
8600 0
8601 0
8602 0
8603 0
8649 0
8650 0
8666 0
8670 0
8704 0
8713 0
8714 0
8740 0
8754 0
8757 0
8795 0
8798 0
8800 0
8802 0
8829 0
8830 0
8841 0
8844 0
8870 0
8873 0
8874 0
8875 0
8876 0
8887 0
8888 0
8890 0
8891 0
8893 0
8916 0
8927 0
8931 0
8932 0
8934 0
8935 0
8956 0
8957 0
8962 0
8970 0
8971 0
8972 0
8973 0
8995 0
8997 0
8998 0
8999 0
9002 0
9013 0
9034 0
9036 0
9037 0
9038 0
9039 0
9051 0
9070 0
9074 0
9075 0
9076 0
9077 0
9078 0
9079 0
9081 0
9083 0
9087 0
9116 0
9117 0
9122 0
9127 0
9133 0
9157 0
9158 0
9161 0
9198 0
9200 0
9203 0
9204 0
9216 0
9218 0
9239 0
9240 0
9242 0
9246 0
9257 0
9263 0
9286 0
9287 0
9288 0
9290 0
9291 0
9294 0
9295 0
9305 0
9334 0
9344 0
9345 0
9357 0
9361 0
9392 0
9393 0
9394 0
9395 0
9397 0
9398 0
9399 0
9411 0
9413 0
9420 0
9451 0
9453 0
9455 0
9457 0
9459 0
9476 0
9477 0
9480 0
9513 0
9514 0
9520 0
9536 0
9538 0
9543 0
9574 0
9581 0
9583 0
9585 0
9604 0
9608 0
9610 0
9613 0
9654 0
9656 0
9657 0
9658 0
9662 0
9680 0
9682 0
9683 0
9686 0
9687 0
9689 0
9731 0
9735 0
9739 0
9741 0
9758 0
9760 0
9761 0
9763 0
9764 0
9765 0
9766 0
9813 0
9815 0
9819 0
9820 0
9827 0
9838 0
9841 0
9843 0
9844 0
9845 0
9892 0
9893 0
9894 0
9895 0
9896 0
9898 0
9900 0
9919 0
9920 0
9921 0
9922 0
9923 0
9924 0
9926 0
9974 0
9975 0
9976 0
9978 0
9979 0
9980 0
9981 0
9990 0
10001 0
10003 0
10005 0
10057 0
10058 0
10061 0
10062 0
10063 0
10064 0
10065 0
10084 0
10086 0
10087 0
10139 0
10140 0
10141 0
10142 0
10143 0
10144 0
10146 0
10148 0
10155 0
10223 0
10224 0
10225 0
10226 0
10227 0
10228 0
10231 0
10232 0
10238 0
10314 0
10320 0
10400 0
10401 0
10497 0
10498 0
10501 0
10595 0
10596 0
