vids freq
GRK_AGIA1_0_1 0.024583
GRK_AGIA1_0_1 0.007974
GRK_AGIA1_0_1 0.024385
GRK_AGIA1_0_1 0.021487
GRK_AGIA1_0_1 0.017599
GRK_AGIA1_0_1 0.008646
GRK_AGIA1_0_1 0.005803
GRK_AGIA1_0_1 0.023430
GRK_AGIA1_0_1 0.008725
GRK_AGIA1_0_1 0.026154
GRK_AGIA1_0_1 0.028849
GRK_AGIA1_0_1 0.022347
GRK_AGIA1_0_1 0.030262
GRK_AGIA1_0_1 0.030001
GRK_AGIA1_0_1 0.024679
GRK_AGIA1_0_1 0.030479
GRK_AGIA1_0_1 0.031558
GRK_AGIA1_0_1 0.022594
GRK_AGIA1_0_1 0.010979
GRK_AGIA1_0_1 0.028435
GRK_AGIA1_0_1 0.028923
GRK_AGIA1_0_1 0.033454
GRK_AGIA1_0_1 0.033539
GRK_AGIA1_0_1 0.033617
GRK_AGIA1_0_1 0.029916
GRK_AGIA1_0_1 0.016697
GRK_AGIA1_0_1 0.025504
GRK_AGIA1_0_1 0.030213
GRK_AGIA1_0_1 0.025728
GRK_AGIA1_0_1 0.025619
GRK_AGIA1_0_1 0.012015
GRK_AGIA1_0_1 0.024520
GRK_AGIA1_0_1 0.007477
GRK_AGIA1_0_1 0.025816
GRK_AGIA1_0_1 0.016349
GRK_AGIA1_0_1 0.013752
GRK_AGIA1_0_1 0.011028
GRK_AGIA1_0_1 0.011156
GRK_AGIA1_0_1 0.010596
GRK_AGIA1_0_1 0.019382
GRK_AGIA1_0_1 0.022409
GRK_AGIA1_0_1 0.025591
GRK_AGIA1_0_1 0.026901
GRK_AGIA1_0_1 0.009990
GRK_AGIA1_0_1 0.024546
GRK_AGIA1_0_1 0.026293
GRK_AGIA1_0_2 0.024583
GRK_AGIA1_0_2 0.007974
GRK_AGIA1_0_2 0.024385
GRK_AGIA1_0_2 0.021487
GRK_AGIA1_0_2 0.017599
GRK_AGIA1_0_2 0.008646
GRK_AGIA1_0_2 0.005803
GRK_AGIA1_0_2 0.023430
GRK_AGIA1_0_2 0.008725
GRK_AGIA1_0_2 0.026154
GRK_AGIA1_0_2 0.028849
GRK_AGIA1_0_2 0.022347
GRK_AGIA1_0_2 0.030262
GRK_AGIA1_0_2 0.030001
GRK_AGIA1_0_2 0.024679
GRK_AGIA1_0_2 0.030479
GRK_AGIA1_0_2 0.031558
GRK_AGIA1_0_2 0.022594
GRK_AGIA1_0_2 0.010979
GRK_AGIA1_0_2 0.028435
GRK_AGIA1_0_2 0.028923
GRK_AGIA1_0_2 0.033454
GRK_AGIA1_0_2 0.033539
GRK_AGIA1_0_2 0.033617
GRK_AGIA1_0_2 0.029916
GRK_AGIA1_0_2 0.016697
GRK_AGIA1_0_2 0.025504
GRK_AGIA1_0_2 0.030213
GRK_AGIA1_0_2 0.025728
GRK_AGIA1_0_2 0.025619
GRK_AGIA1_0_2 0.012015
GRK_AGIA1_0_2 0.024520
GRK_AGIA1_0_2 0.007477
GRK_AGIA1_0_2 0.025816
GRK_AGIA1_0_2 0.016349
GRK_AGIA1_0_2 0.013752
GRK_AGIA1_0_2 0.011028
GRK_AGIA1_0_2 0.011156
GRK_AGIA1_0_2 0.010596
GRK_AGIA1_0_2 0.019382
GRK_AGIA1_0_2 0.022409
GRK_AGIA1_0_2 0.025591
GRK_AGIA1_0_2 0.026901
GRK_AGIA1_0_2 0.009990
GRK_AGIA1_0_2 0.024546
GRK_AGIA1_0_2 0.026293
GRK_AGIA1_0_3 0.024583
GRK_AGIA1_0_3 0.007974
GRK_AGIA1_0_3 0.024385
GRK_AGIA1_0_3 0.021487
GRK_AGIA1_0_3 0.017599
GRK_AGIA1_0_3 0.008646
GRK_AGIA1_0_3 0.005803
GRK_AGIA1_0_3 0.023430
GRK_AGIA1_0_3 0.008725
GRK_AGIA1_0_3 0.026154
GRK_AGIA1_0_3 0.028849
GRK_AGIA1_0_3 0.022347
GRK_AGIA1_0_3 0.030262
GRK_AGIA1_0_3 0.030001
GRK_AGIA1_0_3 0.024679
GRK_AGIA1_0_3 0.030479
GRK_AGIA1_0_3 0.031558
GRK_AGIA1_0_3 0.022594
GRK_AGIA1_0_3 0.010979
GRK_AGIA1_0_3 0.028435
GRK_AGIA1_0_3 0.028923
GRK_AGIA1_0_3 0.033454
GRK_AGIA1_0_3 0.033539
GRK_AGIA1_0_3 0.033617
GRK_AGIA1_0_3 0.029916
GRK_AGIA1_0_3 0.016697
GRK_AGIA1_0_3 0.025504
GRK_AGIA1_0_3 0.030213
GRK_AGIA1_0_3 0.025728
GRK_AGIA1_0_3 0.025619
GRK_AGIA1_0_3 0.012015
GRK_AGIA1_0_3 0.024520
GRK_AGIA1_0_3 0.007477
GRK_AGIA1_0_3 0.025816
GRK_AGIA1_0_3 0.016349
GRK_AGIA1_0_3 0.013752
GRK_AGIA1_0_3 0.011028
GRK_AGIA1_0_3 0.011156
GRK_AGIA1_0_3 0.010596
GRK_AGIA1_0_3 0.019382
GRK_AGIA1_0_3 0.022409
GRK_AGIA1_0_3 0.025591
GRK_AGIA1_0_3 0.026901
GRK_AGIA1_0_3 0.009990
GRK_AGIA1_0_3 0.024546
GRK_AGIA1_0_3 0.026293
GRK_AGIA1_0_4 0.024583
GRK_AGIA1_0_4 0.007974
GRK_AGIA1_0_4 0.024385
GRK_AGIA1_0_4 0.021487
GRK_AGIA1_0_4 0.017599
GRK_AGIA1_0_4 0.008646
GRK_AGIA1_0_4 0.005803
GRK_AGIA1_0_4 0.023430
GRK_AGIA1_0_4 0.008725
GRK_AGIA1_0_4 0.026154
GRK_AGIA1_0_4 0.028849
GRK_AGIA1_0_4 0.022347
GRK_AGIA1_0_4 0.030262
GRK_AGIA1_0_4 0.030001
GRK_AGIA1_0_4 0.024679
GRK_AGIA1_0_4 0.030479
GRK_AGIA1_0_4 0.031558
GRK_AGIA1_0_4 0.022594
GRK_AGIA1_0_4 0.010979
GRK_AGIA1_0_4 0.028435
GRK_AGIA1_0_4 0.028923
GRK_AGIA1_0_4 0.033454
GRK_AGIA1_0_4 0.033539
GRK_AGIA1_0_4 0.033617
GRK_AGIA1_0_4 0.029916
GRK_AGIA1_0_4 0.016697
GRK_AGIA1_0_4 0.025504
GRK_AGIA1_0_4 0.030213
GRK_AGIA1_0_4 0.025728
GRK_AGIA1_0_4 0.025619
GRK_AGIA1_0_4 0.012015
GRK_AGIA1_0_4 0.024520
GRK_AGIA1_0_4 0.007477
GRK_AGIA1_0_4 0.025816
GRK_AGIA1_0_4 0.016349
GRK_AGIA1_0_4 0.013752
GRK_AGIA1_0_4 0.011028
GRK_AGIA1_0_4 0.011156
GRK_AGIA1_0_4 0.010596
GRK_AGIA1_0_4 0.019382
GRK_AGIA1_0_4 0.022409
GRK_AGIA1_0_4 0.025591
GRK_AGIA1_0_4 0.026901
GRK_AGIA1_0_4 0.009990
GRK_AGIA1_0_4 0.024546
GRK_AGIA1_0_4 0.026293
GRK_AGIA39_1_1 0.014247
GRK_AGIA39_1_1 0.043761
