vids freq
GRK_AGIA1_0_1 1
GRK_AGIA1_0_2 1
GRK_AGIA1_0_3 1
GRK_AGIA1_0_4 1
GRK_AGIA39_1_1 1
GRK_AGIA39_1_2 1
GRK_AGIA39_1_3 1
GRK_AGIA39_1_4 1
GRK_AGIA39_1_5 1
GRK_AGIA39_1_6 1
GRK_AGIA39_1_7 1
GRK_AGIA81_2_1 1
GRK_AGIA81_2_2 1
GRK_AGIA81_2_3 1
GRK_AGIA81_2_4 1
GRK_AGIA81_2_5 1
GRK_AGIO123_3_1 1
GRK_AGIO2_0_1 1
GRK_AGIO40_1_1 1
GRK_AGIO40_1_2 1
GRK_AGIO82_2_1 1
GRK_AGIO82_2_2 1
GRK_AIGI124_3_1 1
GRK_AIGI140_4_1 1
GRK_AIGI3_0_1 1
GRK_AIGI3_0_2 1
GRK_AIGI3_0_3 1
GRK_AIGI3_0_4 1
GRK_AIGI41_1_1 1
GRK_AIGI41_1_2 1
GRK_AIGI41_1_3 1
GRK_AIGI41_1_4 1
GRK_AIGI41_1_5 1
GRK_AIGI41_1_6 1
GRK_AIGI83_2_1 1
GRK_AIGI83_2_2 1
GRK_AIGI83_2_3 1
GRK_AIGI83_2_4 1
GRK_AMFI4_0_1 1
GRK_AMFI4_0_2 1
GRK_AMFI4_0_3 1
GRK_AMFI4_0_4 1
GRK_AMFI4_0_5 1
GRK_AMFI4_0_6 1
GRK_AMFI42_1_1 1
GRK_AMFI42_1_2 1
GRK_AMFI42_1_3 1
GRK_AMFI42_1_4 1
GRK_AMFI42_1_5 1
GRK_AMFI42_1_6 1
GRK_AMFI42_1_7 1
GRK_AMFI42_1_8 1
GRK_AMFI42_1_9 1
GRK_AMFI42_1_10 1
GRK_AMFI42_1_11 1
GRK_AMFI84_2_1 1
GRK_AMFI84_2_2 1
GRK_AMFI84_2_3 1
GRK_ANTY141_4_1 1
GRK_ANTY43_1_1 1
GRK_ANTY43_1_2 1
GRK_ANTY43_1_3 1
GRK_ANTY43_1_4 1
GRK_ANTY43_1_5 1
GRK_ANTY43_1_6 1
GRK_ANTY43_1_7 1
GRK_ANTY43_1_8 1
GRK_ANTY43_1_9 1
GRK_ANTY5_0_1 1
GRK_ANTY5_0_2 1
GRK_ANTY5_0_3 1
GRK_ANTY5_0_4 1
GRK_ANTY85_2_1 1
GRK_ANTY85_2_2 1
GRK_ANTY85_2_3 1
GRK_ANTY85_2_4 1
GRK_ARGO142_4_1 1
GRK_ARGO44_1_1 1
GRK_ARGO44_1_2 1
GRK_ARGO44_1_3 1
GRK_ARGO44_1_4 1
GRK_ARGO44_1_5 1
GRK_ARGO6_0_1 1
GRK_ARGO6_0_2 1
GRK_ARGO6_0_3 1
GRK_ARGO6_0_4 1
GRK_ARGO6_0_5 1
GRK_ARGO6_0_6 1
GRK_ARGO6_0_7 1
GRK_ARGO86_2_1 1
GRK_ARGO86_2_2 1
GRK_ARGO86_2_3 1
GRK_ARGO86_2_4 1
GRK_ARGO86_2_5 1
GRK_ARGO86_2_6 1
GRK_ASTA125_3_1 1
GRK_ASTA125_3_2 1
GRK_ASTA143_4_1 1
GRK_ASTA45_1_1 1
GRK_ASTA45_1_2 1
GRK_ASTA45_1_3 1
GRK_ASTA45_1_4 1
GRK_ASTA7_0_1 1
GRK_ASTA87_2_1 1
GRK_ASTA87_2_2 1
GRK_ASTA87_2_3 1
GRK_ASTA87_2_4 1
GRK_ASTA87_2_5 1
GRK_DOMV46_1_1 1
GRK_DOMV8_0_1 1
GRK_DOMV88_2_1 1
GRK_FISK126_3_1 1
GRK_FISK144_4_1 1
GRK_FISK47_1_1 1
GRK_FISK89_2_1 1
GRK_FISK9_0_1 1
GRK_GAIO10_0_1 1
GRK_GAIO127_3_1 1
GRK_GAIO145_4_1 1
GRK_GAIO48_1_1 1
GRK_GAIO48_1_2 1
GRK_GAIO48_1_3 1
GRK_GAIO48_1_4 1
GRK_GAIO48_1_5 1
GRK_GAIO48_1_6 1
GRK_GAIO90_2_1 1
GRK_GAIO90_2_2 1
GRK_GAIO90_2_3 1
GRK_GALA11_0_1 1
GRK_GALA11_0_2 1
GRK_GALA11_0_3 1
GRK_GALA11_0_4 1
GRK_GALA11_0_5 1
GRK_GALA146_4_1 1
GRK_GALA49_1_1 1
GRK_GALA49_1_2 1
GRK_GALA91_2_1 1
GRK_GALA91_2_2 1
GRK_GALA91_2_3 1
GRK_GALA91_2_4 1
GRK_GUQE12_0_1 1
GRK_GUQE12_0_2 1
GRK_GUQE12_0_3 1
GRK_GUQE12_0_4 1
GRK_GUQE12_0_5 1
GRK_GUQE128_3_1 1
GRK_GUQE50_1_1 1
GRK_GUQE50_1_2 1
GRK_GUQE50_1_3 1
GRK_GUQE50_1_4 1
GRK_GUQE50_1_5 1
GRK_GUQE50_1_6 1
GRK_GUQE50_1_7 1
GRK_GUQE50_1_8 1
GRK_GUQE50_1_9 1
GRK_GUQE50_1_10 1
GRK_GUQE50_1_11 1
GRK_GUQE50_1_12 1
GRK_GUQE50_1_13 1
GRK_GUQE50_1_14 1
GRK_GUQE50_1_15 1
GRK_GUQE50_1_16 1
GRK_GUQE50_1_17 1
GRK_GUQE50_1_18 1
GRK_GUQE50_1_19 1
GRK_GUQE50_1_20 1
GRK_GUQE50_1_21 1
GRK_GUQE50_1_22 1
GRK_GUQE92_2_1 1
GRK_GUQE92_2_2 1
GRK_GUQE92_2_3 1
GRK_GUQE92_2_4 1
GRK_GUQE92_2_5 1
GRK_GUQE92_2_6 1
GRK_GUQE92_2_7 1
GRK_IGOY129_3_1 1
GRK_IGOY13_0_1 1
GRK_IGOY147_4_1 1
GRK_IGOY51_1_1 1
GRK_IGOY51_1_2 1
GRK_IGOY51_1_3 1
GRK_IGOY51_1_4 1
GRK_IGOY51_1_5 1
GRK_IGOY51_1_6 1
GRK_IGOY51_1_7 1
GRK_IGOY51_1_8 1
GRK_IGOY51_1_9 1
GRK_IGOY93_2_1 1
GRK_IGOY93_2_2 1
GRK_IQAK14_0_1 1
GRK_IQAK14_0_2 1
GRK_IQAK52_1_1 1
GRK_IQAK52_1_2 1
GRK_IQAK52_1_3 1
GRK_IQAK52_1_4 1
GRK_IQAK52_1_5 1
GRK_IQAK52_1_6 1
GRK_IQAK52_1_7 1
GRK_IQAK52_1_8 1
GRK_IQAK52_1_9 1
GRK_IQAK94_2_1 1
GRK_IQAK94_2_2 1
GRK_IQAK94_2_3 1
GRK_ITEA130_3_1 1
GRK_ITEA148_4_1 1
GRK_ITEA15_0_1 1
GRK_ITEA15_0_2 1
GRK_ITEA53_1_1 1
GRK_ITEA53_1_2 1
GRK_ITEA53_1_3 1
GRK_ITEA53_1_4 1
GRK_ITEA53_1_5 1
GRK_ITEA53_1_6 1
GRK_ITEA53_1_7 1
GRK_ITEA95_2_1 1
GRK_ITEA95_2_2 1
GRK_ITEA95_2_3 1
GRK_KALA131_3_1 1
GRK_KALA16_0_1 1
GRK_KALA54_1_1 1
GRK_KALA54_1_2 1
GRK_KALA54_1_3 1
GRK_KALA54_1_4 1
GRK_KALA54_1_5 1
GRK_KALA54_1_6 1
GRK_KALA54_1_7 1
GRK_KALA54_1_8 1
GRK_KALA54_1_9 1
GRK_KALA54_1_10 1
GRK_KALA54_1_11 1
GRK_KALA54_1_12 1
GRK_KALA54_1_13 1
GRK_KALA54_1_14 1
GRK_KALA54_1_15 1
GRK_KALA54_1_16 1
GRK_KALA54_1_17 1
GRK_KALA96_2_1 1
GRK_KALA96_2_2 1
GRK_KALA96_2_3 1
GRK_KALA96_2_4 1
GRK_KALA96_2_5 1
GRK_KALA96_2_6 1
GRK_KALA96_2_7 1
GRK_KALA96_2_8 1
GRK_KALA96_2_9 1
GRK_KALA96_2_10 1
GRK_KAPS55_1_1 1
GRK_KAPS55_1_2 1
GRK_KAPS97_2_1 1
GRK_KAPS97_2_2 1
GRK_KAPS97_2_3 1
GRK_KAPS97_2_4 1
GRK_KAPS97_2_5 1
GRK_KATA132_3_1 1
GRK_KATA17_0_1 1
