vids pt_graph
GRK_AGIA1_0_1 19501
GRK_AGIA1_0_2 19501
GRK_AGIA1_0_3 19501
GRK_AGIA1_0_4 19501
GRK_AGIA39_1_1 19501
GRK_AGIA39_1_2 19501
GRK_AGIA39_1_3 19501
GRK_AGIA39_1_4 19501
GRK_AGIA39_1_5 19501
GRK_AGIA39_1_6 19501
GRK_AGIA39_1_7 19501
GRK_AGIA81_2_1 19501
GRK_AGIA81_2_2 19501
GRK_AGIA81_2_3 19501
GRK_AGIA81_2_4 19501
GRK_AGIA81_2_5 19501
GRK_AGIO123_3_1 19502
GRK_AGIO2_0_1 19502
GRK_AGIO40_1_1 19502
GRK_AGIO40_1_2 19502
GRK_AGIO82_2_1 19502
GRK_AGIO82_2_2 19502
GRK_AIGI124_3_1 19503
GRK_AIGI140_4_1 19503
GRK_AIGI3_0_1 19503
GRK_AIGI3_0_2 19503
GRK_AIGI3_0_3 19503
GRK_AIGI3_0_4 19503
GRK_AIGI41_1_1 19503
GRK_AIGI41_1_2 19503
GRK_AIGI41_1_3 19503
GRK_AIGI41_1_4 19503
GRK_AIGI41_1_5 19503
GRK_AIGI41_1_6 19503
GRK_AIGI83_2_1 19503
GRK_AIGI83_2_2 19503
GRK_AIGI83_2_3 19503
GRK_AIGI83_2_4 19503
GRK_AMFI4_0_1 19504
GRK_AMFI4_0_2 19504
GRK_AMFI4_0_3 19504
GRK_AMFI4_0_4 19504
GRK_AMFI4_0_5 19504
GRK_AMFI4_0_6 19504
GRK_AMFI42_1_1 19504
GRK_AMFI42_1_2 19504
GRK_AMFI42_1_3 19504
GRK_AMFI42_1_4 19504
GRK_AMFI42_1_5 19504
GRK_AMFI42_1_6 19504
GRK_AMFI42_1_7 19504
GRK_AMFI42_1_8 19504
GRK_AMFI42_1_9 19504
GRK_AMFI42_1_10 19504
GRK_AMFI42_1_11 19504
GRK_AMFI84_2_1 19504
GRK_AMFI84_2_2 19504
GRK_AMFI84_2_3 19504
GRK_ANTY141_4_1 19505
GRK_ANTY43_1_1 19505
GRK_ANTY43_1_2 19505
GRK_ANTY43_1_3 19505
GRK_ANTY43_1_4 19505
GRK_ANTY43_1_5 19505
GRK_ANTY43_1_6 19505
GRK_ANTY43_1_7 19505
GRK_ANTY43_1_8 19505
GRK_ANTY43_1_9 19505
GRK_ANTY5_0_1 19505
GRK_ANTY5_0_2 19505
GRK_ANTY5_0_3 19505
GRK_ANTY5_0_4 19505
GRK_ANTY85_2_1 19505
GRK_ANTY85_2_2 19505
GRK_ANTY85_2_3 19505
GRK_ANTY85_2_4 19505
GRK_ARGO142_4_1 19506
GRK_ARGO44_1_1 19506
GRK_ARGO44_1_2 19506
GRK_ARGO44_1_3 19506
GRK_ARGO44_1_4 19506
GRK_ARGO44_1_5 19506
GRK_ARGO6_0_1 19506
GRK_ARGO6_0_2 19506
GRK_ARGO6_0_3 19506
GRK_ARGO6_0_4 19506
GRK_ARGO6_0_5 19506
GRK_ARGO6_0_6 19506
GRK_ARGO6_0_7 19506
GRK_ARGO86_2_1 19506
GRK_ARGO86_2_2 19506
GRK_ARGO86_2_3 19506
GRK_ARGO86_2_4 19506
GRK_ARGO86_2_5 19506
GRK_ARGO86_2_6 19506
GRK_ASTA125_3_1 19507
GRK_ASTA125_3_2 19507
GRK_ASTA143_4_1 19507
GRK_ASTA45_1_1 19507
GRK_ASTA45_1_2 19507
GRK_ASTA45_1_3 19507
GRK_ASTA45_1_4 19507
GRK_ASTA7_0_1 19507
GRK_ASTA87_2_1 19507
GRK_ASTA87_2_2 19507
GRK_ASTA87_2_3 19507
GRK_ASTA87_2_4 19507
GRK_ASTA87_2_5 19507
GRK_DOMV46_1_1 19508
GRK_DOMV8_0_1 19508
GRK_DOMV88_2_1 19508
GRK_FISK126_3_1 19509
GRK_FISK144_4_1 19509
GRK_FISK47_1_1 19509
GRK_FISK89_2_1 19509
GRK_FISK9_0_1 19509
GRK_GAIO10_0_1 19510
GRK_GAIO127_3_1 19510
GRK_GAIO145_4_1 19510
GRK_GAIO48_1_1 19510
GRK_GAIO48_1_2 19510
GRK_GAIO48_1_3 19510
GRK_GAIO48_1_4 19510
GRK_GAIO48_1_5 19510
GRK_GAIO48_1_6 19510
GRK_GAIO90_2_1 19510
GRK_GAIO90_2_2 19510
GRK_GAIO90_2_3 19510
GRK_GALA11_0_1 19511
GRK_GALA11_0_2 19511
GRK_GALA11_0_3 19511
GRK_GALA11_0_4 19511
GRK_GALA11_0_5 19511
GRK_GALA146_4_1 19511
GRK_GALA49_1_1 19511
GRK_GALA49_1_2 19511
GRK_GALA91_2_1 19511
GRK_GALA91_2_2 19511
GRK_GALA91_2_3 19511
GRK_GALA91_2_4 19511
GRK_GUQE12_0_1 19512
GRK_GUQE12_0_2 19512
GRK_GUQE12_0_3 19512
GRK_GUQE12_0_4 19512
GRK_GUQE12_0_5 19512
GRK_GUQE128_3_1 19512
GRK_GUQE50_1_1 19512
GRK_GUQE50_1_2 19512
GRK_GUQE50_1_3 19512
GRK_GUQE50_1_4 19512
GRK_GUQE50_1_5 19512
GRK_GUQE50_1_6 19512
GRK_GUQE50_1_7 19512
GRK_GUQE50_1_8 19512
GRK_GUQE50_1_9 19512
GRK_GUQE50_1_10 19512
GRK_GUQE50_1_11 19512
GRK_GUQE50_1_12 19512
GRK_GUQE50_1_13 19512
GRK_GUQE50_1_14 19512
GRK_GUQE50_1_15 19512
GRK_GUQE50_1_16 19512
GRK_GUQE50_1_17 19512
GRK_GUQE50_1_18 19512
GRK_GUQE50_1_19 19512
GRK_GUQE50_1_20 19512
GRK_GUQE50_1_21 19512
GRK_GUQE50_1_22 19512
GRK_GUQE92_2_1 19512
GRK_GUQE92_2_2 19512
GRK_GUQE92_2_3 19512
GRK_GUQE92_2_4 19512
GRK_GUQE92_2_5 19512
GRK_GUQE92_2_6 19512
GRK_GUQE92_2_7 19512
GRK_IGOY129_3_1 19513
GRK_IGOY13_0_1 19513
GRK_IGOY147_4_1 19513
GRK_IGOY51_1_1 19513
GRK_IGOY51_1_2 19513
GRK_IGOY51_1_3 19513
GRK_IGOY51_1_4 19513
GRK_IGOY51_1_5 19513
GRK_IGOY51_1_6 19513
GRK_IGOY51_1_7 19513
GRK_IGOY51_1_8 19513
GRK_IGOY51_1_9 19513
GRK_IGOY93_2_1 19513
GRK_IGOY93_2_2 19513
GRK_IQAK14_0_1 19514
GRK_IQAK14_0_2 19514
GRK_IQAK52_1_1 19514
GRK_IQAK52_1_2 19514
GRK_IQAK52_1_3 19514
GRK_IQAK52_1_4 19514
GRK_IQAK52_1_5 19514
GRK_IQAK52_1_6 19514
GRK_IQAK52_1_7 19514
GRK_IQAK52_1_8 19514
GRK_IQAK52_1_9 19514
GRK_IQAK94_2_1 19514
GRK_IQAK94_2_2 19514
GRK_IQAK94_2_3 19514
GRK_ITEA130_3_1 19515
GRK_ITEA148_4_1 19515
GRK_ITEA15_0_1 19515
GRK_ITEA15_0_2 19515
GRK_ITEA53_1_1 19515
GRK_ITEA53_1_2 19515
GRK_ITEA53_1_3 19515
GRK_ITEA53_1_4 19515
GRK_ITEA53_1_5 19515
GRK_ITEA53_1_6 19515
GRK_ITEA53_1_7 19515
GRK_ITEA95_2_1 19515
GRK_ITEA95_2_2 19515
GRK_ITEA95_2_3 19515
GRK_KALA131_3_1 19516
GRK_KALA16_0_1 19516
GRK_KALA54_1_1 19516
GRK_KALA54_1_2 19516
GRK_KALA54_1_3 19516
GRK_KALA54_1_4 19516
GRK_KALA54_1_5 19516
GRK_KALA54_1_6 19516
GRK_KALA54_1_7 19516
GRK_KALA54_1_8 19516
GRK_KALA54_1_9 19516
GRK_KALA54_1_10 19516
GRK_KALA54_1_11 19516
GRK_KALA54_1_12 19516
GRK_KALA54_1_13 19516
GRK_KALA54_1_14 19516
GRK_KALA54_1_15 19516
GRK_KALA54_1_16 19516
GRK_KALA54_1_17 19516
GRK_KALA96_2_1 19516
GRK_KALA96_2_2 19516
GRK_KALA96_2_3 19516
GRK_KALA96_2_4 19516
GRK_KALA96_2_5 19516
GRK_KALA96_2_6 19516
GRK_KALA96_2_7 19516
GRK_KALA96_2_8 19516
